+ Add Milestone,+ மைல்கல் சேர்
What did you work on?,நீங்கள் என்ன பணி செய்தீர்கள்?
When,எப்போது
When work begins,பணி தொடங்கும்போது
When work is due,பணி நிலுவையில் இருக்கும்போது
Where,எங்கே
Will capture:,கைப்பற்றும்:
Will create:,உருவாக்கும்:
with checklist items,சரிபார்ப்புப் பட்டியல் உருப்படிகளுடன்
Working,செயல்படுகிறது
Workload,பணிச்சுமை
Workmanship,கைவேலைப்பாடு
Write a comment...,கருத்தை எழுதுங்கள்...
Write a comment... Use @name to mention (Ctrl+Enter to send),கருத்தை எழுதுங்கள்... குறிப்பிட @பெயர் பயன்படுத்தவும் (அனுப்ப Ctrl+Enter)
Year,ஆண்டு
Yes,ஆம்
Yesterday,நேற்று
yesterday,நேற்று
You are not an attendee of this appointment,நீங்கள் இந்த சந்திப்பின் பங்கேற்பாளர் அல்ல
You are not linked to any resource,நீங்கள் எந்த வளத்துடனும் இணைக்கப்படவில்லை
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,உங்கள் சொந்த கருத்துகளை மட்டுமே நீக்க முடியும்
You can only delete your own reactions,உங்கள் சொந்த எதிர்வினைகளை மட்டுமே நீக்க முடியும்
You do not have access to the client portal. Please contact support.,வாடிக்கையாளர் போர்ட்டலுக்கு உங்களுக்கு அணுகல் இல்லை. ஆதரவைத் தொடர்பு கொள்ளுங்கள்.
You have already reacted with '{0}',நீங்கள் ஏற்கனவே '{0}' என எதிர்வினையாற்றியுள்ளீர்கள்
You have been assigned to task '{0}' in project '{1}'.,திட்டம் '{1}' இல் பணி '{0}' க்கு நீங்கள் ஒதுக்கப்பட்டுள்ளீர்கள்.
You have been assigned to: {0},நீங்கள் ஒதுக்கப்பட்டுள்ளீர்கள்: {0}
You have been invited to the following appointment,பின்வரும் சந்திப்புக்கு நீங்கள் அழைக்கப்பட்டுள்ளீர்கள்
You have no tasks assigned to you right now.,தற்போது உங்களுக்கு ஒதுக்கப்பட்ட பணிகள் இல்லை.
You were mentioned in {0},நீங்கள் {0} இல் குறிப்பிடப்பட்டீர்கள்
Your attendance,உங்கள் வருகை
Your comment has been posted,உங்கள் கருத்து பதிவிடப்பட்டது
Your Projects,உங்கள் திட்டங்கள்
Your projects will appear here once they're assigned to you.,உங்களுக்கு ஒதுக்கப்பட்டவுடன் உங்கள் திட்டங்கள் இங்கே தோன்றும்.
Your Response,உங்கள் பதில்
Your RSVP,உங்கள் RSVP
Your support request has been submitted successfully.,உங்கள் ஆதரவு கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது.
Your support request has been submitted successfully. We'll get back to you shortly.,உங்கள் ஆதரவு கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது. விரைவில் நாங்கள் உங்களைத் தொடர்பு கொள்வோம்.
"Your task ""{0}"" is no longer blocked and can now be started.","உங்கள் பணி ""{0}"" இனி தடுக்கப்படவில்லை, இப்போது தொடங்கலாம்."
{0} is required,{0} தேவை
{0} new activities,{0} புதிய செயல்பாடுகள்
{0} of {1} completed,{1} இல் {0} நிறைவடைந்தது
{0} projects already migrated (will be skipped or updated),{0} திட்டங்கள் ஏற்கனவே இடம்பெயர்க்கப்பட்டன (தவிர்க்கப்படும் அல்லது புதுப்பிக்கப்படும்)
{0} status changed to {1},{0} நிலை {1} ஆக மாற்றப்பட்டது
{0} tasks remaining,{0} பணிகள் மீதமுள்ளன
{0} tasks without projects will be skipped,திட்டங்கள் இல்லாத {0} பணிகள் தவிர்க்கப்படும்
{0} {1} not found,{0} {1} கிடைக்கவில்லை
