+ Add Milestone,+ បន្ថែមព្រឹត្តិការណ៍សំខាន់
Tasks assigned to you across all projects.,ភារកិច្ចដែលបានចាត់តាំងឱ្យអ្នកឆ្លងកាត់គម្រោងទាំងអស់។
Tasks created:,ភារកិច្ចដែលបានបង្កើត:
Tasks from projects you manage.,ភារកិច្ចពីគម្រោងដែលអ្នកគ្រប់គ្រង។
Tasks updated:,ភារកិច្ចដែលបានធ្វើបច្ចុប្បន្នភាព:
"Tasks, milestones, and dependencies have been created.",ភារកិច្ច ព្រឹត្តិការណ៍សំខាន់ និងភាពអាស្រ័យត្រូវបានបង្កើត។
Tasks:,ភារកិច្ច:
TBD,មិនទាន់កំណត់
Team,ក្រុម
Team Members,សមាជិកក្រុម
Template,ទំព័រគំរូ
Template applied,គំរូត្រូវបានអនុវត្ត
Template data is required in import data,ទិន្នន័យគំរូគឺចាំបាច់នៅក្នុងទិន្នន័យនាំចូល
Template has no data,គំរូមិនមានទិន្នន័យទេ
Template Name,ឈ្មោះគំរូ
Template name,ឈ្មោះគំរូ
Template name is required,ឈ្មោះគំរូគឺចាំបាច់
Template name is required in import data,ឈ្មោះគំរូគឺចាំបាច់នៅក្នុងទិន្នន័យនាំចូល
Template saved,គំរូត្រូវបានរក្សាទុក
Template updated successfully.,គំរូត្រូវបានធ្វើបច្ចុប្បន្នភាពដោយជោគជ័យ។
Template {0} not found,រកមិនឃើញគំរូ {0}
Templates,គំរូនានា
Tentative,បណ្ដោះអាសន្ន
The comment has been deleted,មតិយោបល់ត្រូវបានលុប
The project,គម្រោង
The source document may have been deleted.,ឯកសារប្រភពអាចត្រូវបានលុប។
The source document will not be affected.,ឯកសារប្រភពនឹងមិនត្រូវបានប៉ះពាល់ទេ។
The status of '{0}' was changed from {1} to {2}.,ស្ថានភាពរបស់ '{0}' ត្រូវបានផ្លាស់ប្ដូរពី {1} ទៅ {2}។
Theme,ស្បែក
Theme preference,ចំណូលចិត្តរូបរាង
This action,សកម្មភាពនេះ
This action cannot be undone.,សកម្មភាពនេះមិនអាចត្រឡប់វិញបានទេ។
This activity has been flagged for attention,សកម្មភាពនេះត្រូវបានសម្គាល់ដើម្បីយកចិត្តទុកដាក់
This is a reminder for your upcoming appointment,នេះជាការរំលឹកសម្រាប់ការណាត់ជួបនាពេលខាងមុខរបស់អ្នក
This method is only meant for developer mode,វិធីសាស្ត្រនេះមានន័យសម្រាប់របៀបអ្នកអភិវឌ្ឍន៍តែប៉ុណ្ណោះ
This page wandered off,This page wandered off
This Week,សប្តាហ៍នេះ
This will delete all notes and preferences associated with this activity.,នេះនឹងលុបកំណត់ចំណាំ និងចំណូលចិត្តទាំងអស់ដែលទាក់ទងនឹងសកម្មភាពនេះ។
This will import all Frappe Projects into Orga. Continue?,នេះនឹងនាំចូលគម្រោង Frappe ទាំងអស់ចូល Orga។ បន្ត?
This will permanently delete,នេះនឹងលុបជាអចិន្ត្រៃយ៍
This will permanently delete:,នេះនឹងលុបជាអចិន្ត្រៃយ៍:
Thu,ព្រហស្បតិ៍
Time,ពេលវេលា
Time & Billing,ពេលវេលា និងវិក្កយបត្រ
Time & Revenue,ពេលវេលា និងចំណូល
Time Entries,បញ្ជីពេលវេលា
Time log name is required,ឈ្មោះកំណត់ហេតុពេលវេលាគឺចាំបាច់
Time Log not found,រកមិនឃើញកំណត់ហេតុពេលវេលា
Time log {0} not found,រកមិនឃើញកំណត់ហេតុពេលវេលា {0}
Time Logs,កំណត់ហេតុពេលវេលា
Time Summary,សង្ខេបពេលវេលា
Time Tracking,ការតាមដានពេលវេលា
Timeline,បន្ទាត់ពេលវេលា
Timer active on,កម្មវិធីកំណត់ពេលសកម្មលើ
Timer is not running,កម្មវិធីកំណត់ពេលមិនកំពុងដំណើរការ
Timer Running,កម្មវិធីកំណត់ពេលកំពុងដំណើរការ
Timer running,កម្មវិធីកំណត់ពេលកំពុងដំណើរការ
Timesheet DocType not available,DocType តារាងពេលវេលាមិនមានទេ
Timesheets,តារាងពេលវេលា
Timezone,តំបន់ពេលវេលា
Timezone is detected from your browser,តំបន់ពេលវេលាត្រូវបានរកឃើញពីកម្មវិធីរុករករបស់អ្នក
Title,ចំណងជើង
Title cannot exceed 255 characters,ចំណងជើងមិនអាចលើស ២៥៥ តួអក្សរបានទេ
Title is required,ចំណងជើងគឺចាំបាច់
Title updated,ចំណងជើងត្រូវបានធ្វើបច្ចុប្បន្នភាព
To,ទៅ
to,ទៅ
to cancel,ដើម្បីបោះបង់
to close,ដើម្បីបិទ
to confirm:,ដើម្បីបញ្ជាក់:
to edit,ដើម្បីកែប្រែ
"to save,","ដើម្បីរក្សាទុក,"
To Time cannot be before From Time,ពេលវេលាបញ្ចប់មិនអាចមុនពេលវេលាចាប់ផ្ដើមបានទេ
Today,ថ្ងៃនេះ
today,ថ្ងៃនេះ
Toggle billable,បិទបើកការគិតថ្លៃ
Toggle Details Panel,បិទបើកផ្ទាំងព័ត៌មានលម្អិត
Toggle Manager Panel,បិទបើកផ្ទាំងអ្នកគ្រប់គ្រង
Toggle Sidebar,បិទ / បើករបារចំហៀង
Tomorrow,ថ្ងៃស្អែក
tomorrow,ថ្ងៃស្អែក
Total,ចំនួនសរុប
Total Budget,ថវិកាសរុប
Total Contacts,ទំនាក់ទំនងសរុប
Total Cost,ថ្លៃដើមសរុប
Total Cost to Org,ថ្លៃដើមសរុបសម្រាប់អង្គភាព
Total Defect Cost,ថ្លៃដើមកំហុសសរុប
Total Hours,ម៉ោងសរុប
Total Hours Logged,ម៉ោងសរុបដែលបានកត់ត្រា
Total Projects,គម្រោងសរុប
Total Spent,បានចំណាយសរុប
Total Tasks,ភារកិច្ចសរុប
Total:,សរុប:
Tracked,បានតាមដាន
trails to today while Open at 0%,តាមដានដល់ថ្ងៃនេះខណៈបើកនៅ 0%
Tried:,Tried:
Try adjusting your filter criteria,សាកល្បងកែតម្រូវលក្ខណៈវិនិច្ឆ័យតម្រងរបស់អ្នក
Try adjusting your filters.,សាកល្បងកែតម្រូវតម្រងរបស់អ្នក។
Try Again,ព្យាយាមម្ដងទៀត
Tue,អង្គារ
Type,ប្រភេទ
Type updated,ប្រភេទត្រូវបានធ្វើបច្ចុប្បន្នភាព
Type:,ប្រភេទ:
Typical response time: 1-2 business days,ពេលវេលាឆ្លើយតបធម្មតា: 1-2 ថ្ងៃធ្វើការ
Unarchive,ដកចេញពីឃ្លាំង
Unarchive Activity,ដកសកម្មភាពចេញពីឃ្លាំង
Unassign,ដកការចាត់តាំង
Unassigned,មិនបានចាត់តាំង
Under Budget,ក្រោមថវិកា
Ungrouped,មិនបានដាក់ជាក្រុម
Unknown,មិនស្គាល់
Unknown error,កំហុសមិនស្គាល់
Unlink failed,ការផ្ដាច់បានបរាជ័យ
Unlink task from milestone,ផ្ដាច់ភារកិច្ចពីព្រឹត្តិការណ៍សំខាន់
Unpin,ដកការដៅ។
Unpin Activity,ដកខ្ទាសសកម្មភាព
Unread,មិនទាន់អាន
Unread only,មិនទាន់អានតែប៉ុណ្ណោះ
Until,រហូតដល់
Up to Date,Up to Date
Upcoming,នាពេលខាងមុខ
upcoming,នាពេលខាងមុខ
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,ការធ្វើបច្ចុប្បន្នភាពបានបរាជ័យ
Updated,ធ្វើឱ្យទាន់សម័យ
Updated successfully,ធ្វើបច្ចុប្បន្នភាពដោយជោគជ័យ។
Updates,Updates
Upload,ផ្ទុកឡើង
Upload failed,ការផ្ទុកឡើងបានបរាជ័យ
Upload files below to attach them to this task.,ផ្ទុកឡើងឯកសារខាងក្រោមដើម្បីភ្ជាប់ទៅភារកិច្ចនេះ។
Upload to project,ផ្ទុកឡើងទៅគម្រោង
Uploading...,កំពុងផ្ទុកឡើង...
Urgent,បន្ទាន់
User {0} is already linked to client {1},អ្នកប្រើប្រាស់ {0} ត្រូវបានភ្ជាប់ទៅអតិថិជន {1} រួចហើយ
User {0} is already linked to resource {1},អ្នកប្រើប្រាស់ {0} ត្រូវបានភ្ជាប់ទៅធនធាន {1} រួចហើយ
Utilization,ការប្រើប្រាស់
Valid,សុពលភាព
Value:,តម្លៃ:
Variance,ភាពខុសគ្នា
Variance:,ភាពខុសគ្នា:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,មើល
View All,មើលទាំងអស់
View all active projects,មើលគម្រោងសកម្មទាំងអស់
View all open tasks,មើលភារកិច្ចដែលបើកទាំងអស់
View overdue tasks,មើលភារកិច្ចផុតកំណត់
View Release,View Release
Visibility,ភាពមើលឃើញ
Waiting for this task,កំពុងរង់ចាំភារកិច្ចនេះ
Waits for:,រង់ចាំ:
Warning: Resource {0} status is {1},ការព្រមាន: ស្ថានភាពធនធាន {0} គឺ {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,ការព្រមាន: កំពុងប្រើ HTTP ជំនួស HTTPS។ ទិន្នន័យ Webhook អាចមិនមានសុវត្ថិភាព។
Watch budget closely,តាមដានថវិកាយ៉ាងជិត
We'll respond to:,យើងនឹងឆ្លើយតបទៅ:
Webhook deleted,Webhook ត្រូវបានលុប
Webhook name is required,ឈ្មោះ Webhook គឺចាំបាច់
Webhook not found,រកមិនឃើញ Webhook
Webhook URL is required,URL Webhook គឺចាំបាច់
Webhook URL must start with http:// or https://,URL Webhook ត្រូវតែចាប់ផ្ដើមដោយ http:// ឬ https://
Wed,ពុធ
Week,សប្តាហ៍
Weekend,ចុងសប្តាហ៍
Weekly Capacity,សមត្ថភាពប្រចាំសប្ដាហ៍
weekly capacity,សមត្ថភាពប្រចាំសប្ដាហ៍
Weekly Capacity (h),សមត្ថភាពប្រចាំសប្ដាហ៍ (ម)
Welcome,ស្វាគមន៍
Welcome back!,ស្វាគមន៍ត្រឡប់មកវិញ!
Welcome to Orga,ស្វាគមន៍មកកាន់ Orga
What are you working on?,តើអ្នកកំពុងធ្វើការអ្វី?
What did you work on?,តើអ្នកបានធ្វើការអ្វី?
When,នៅពេល
When work begins,នៅពេលការងារចាប់ផ្ដើម
When work is due,នៅពេលការងារផុតកំណត់
Where,នៅកន្លែង
Will capture:,នឹងចាប់យក:
Will create:,នឹងបង្កើត:
with checklist items,ជាមួយធាតុបញ្ជីត្រួតពិនិត្យ
Working,កំពុងធ្វើការ
Workload,បរិមាណការងារ
Workmanship,សិប្បកម្ម
Write a comment...,សរសេរមតិយោបល់...
Write a comment... Use @name to mention (Ctrl+Enter to send),សរសេរមតិយោបល់... ប្រើ @name ដើម្បីលើកឡើង (Ctrl+Enter ដើម្បីផ្ញើ)
Year,កាលពីឆ្នាំ
Yes,បាទ
Yesterday,កាលពីម្សិលមិញ
yesterday,ម្សិលមិញ
You are not an attendee of this appointment,អ្នកមិនមែនជាអ្នកចូលរួមនៃការណាត់ជួបនេះទេ
You are not linked to any resource,អ្នកមិនត្រូវបានភ្ជាប់ទៅធនធានណាមួយទេ
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,អ្នកអាចលុបមតិយោបល់របស់អ្នកផ្ទាល់ខ្លួនតែប៉ុណ្ណោះ
You can only delete your own reactions,អ្នកអាចលុបប្រតិកម្មរបស់អ្នកផ្ទាល់ខ្លួនតែប៉ុណ្ណោះ
You do not have access to the client portal. Please contact support.,អ្នកមិនមានសិទ្ធិចូលប្រើវិបផតថលអតិថិជនទេ។ សូមទាក់ទងផ្នែកគាំទ្រ។
You have already reacted with '{0}',អ្នកបានប្រតិកម្មរួចហើយជាមួយ '{0}'
You have been assigned to task '{0}' in project '{1}'.,អ្នកត្រូវបានចាត់តាំងទៅភារកិច្ច '{0}' ក្នុងគម្រោង '{1}'។
You have been assigned to: {0},អ្នកត្រូវបានចាត់តាំងទៅ: {0}
You have been invited to the following appointment,អ្នកត្រូវបានអញ្ជើញទៅការណាត់ជួបខាងក្រោម
You have no tasks assigned to you right now.,អ្នកមិនមានភារកិច្ចដែលត្រូវបានចាត់តាំងឱ្យអ្នកនៅពេលនេះទេ។
You were mentioned in {0},អ្នកត្រូវបានលើកឡើងក្នុង {0}
Your attendance,ការចូលរួមរបស់អ្នក
Your comment has been posted,មតិយោបល់របស់អ្នកត្រូវបានបង្ហោះ
Your Projects,គម្រោងរបស់អ្នក
Your projects will appear here once they're assigned to you.,គម្រោងរបស់អ្នកនឹងបង្ហាញនៅទីនេះនៅពេលពួកវាត្រូវបានចាត់តាំងឱ្យអ្នក។
Your Response,ការឆ្លើយតបរបស់អ្នក
Your RSVP,RSVP របស់អ្នក
Your support request has been submitted successfully.,សំណើគាំទ្ររបស់អ្នកត្រូវបានដាក់ស្នើដោយជោគជ័យ។
Your support request has been submitted successfully. We'll get back to you shortly.,សំណើគាំទ្ររបស់អ្នកត្រូវបានដាក់ស្នើដោយជោគជ័យ។ យើងនឹងឆ្លើយតបទៅអ្នកក្នុងពេលអ៉ាស់។
"Your task ""{0}"" is no longer blocked and can now be started.","ភារកិច្ចរបស់អ្នក ""{0}"" លែងត្រូវបានទប់ស្កាត់ទៀតហើយ ហើយអាចចាប់ផ្ដើមបានហើយ។"
{0} is required,{0} គឺចាំបាច់
{0} new activities,{0} សកម្មភាពថ្មី
{0} of {1} completed,{0} ក្នុងចំណោម {1} បានបញ្ចប់
{0} projects already migrated (will be skipped or updated),{0} គម្រោងត្រូវបានផ្លាស់ប្ដូររួចហើយ (នឹងត្រូវបានរំលង ឬធ្វើបច្ចុប្បន្នភាព)
{0} status changed to {1},{0} ស្ថានភាពប្រែប្រួលទៅ {1}
{0} tasks remaining,{0} ភារកិច្ចនៅសល់
{0} tasks without projects will be skipped,{0} ភារកិច្ចគ្មានគម្រោងនឹងត្រូវបានរំលង
{0} {1} not found,រកមិនឃើញ {0} {1}
Change photo,Change photo
Could not read file,Could not read file
Failed to upload photo,Failed to upload photo
Photo uploaded successfully,Photo uploaded successfully
File too large,File too large
Invalid file,Invalid file
Please select an image file,Please select an image file
Please select an image under 5MB,Please select an image under 5MB
