+ Add Milestone,+ සන්ධිස්ථානයක් එකතු කරන්න
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,අවවාදයයි: HTTPS වෙනුවට HTTP භාවිතා කරයි. Webhook ගෙවීම් ආරක්ෂිත නොවිය හැක.
Watch budget closely,අයවැය සමීපව නිරීක්ෂණය කරන්න
We'll respond to:,අපි ප්‍රතිචාර දක්වන්නේ:
Webhook deleted,Webhook මකා දැමිණි
Webhook name is required,Webhook නම අවශ්‍යයි
Webhook not found,Webhook හමු නොවීය
Webhook URL is required,Webhook URL අවශ්‍යයි
Webhook URL must start with http:// or https://,Webhook URL http:// හෝ https:// වලින් ආරම්භ විය යුතුය
Wed,බදාදා
Week,සතිය
Weekend,සති අන්තය
Weekly Capacity,සතිපතා ධාරිතාව
weekly capacity,සතිපතා ධාරිතාව
Weekly Capacity (h),සතිපතා ධාරිතාව (පැ)
Welcome,සාදරයෙන් පිළිගනිමු
Welcome back!,ආපසු සාදරයෙන් පිළිගනිමු!
Welcome to Orga,Orga වෙත සාදරයෙන් පිළිගනිමු
What are you working on?,ඔබ කුමක් මත වැඩ කරනවාද?
What did you work on?,ඔබ කුමක් මත වැඩ කළාද?
When,කවදා
When work begins,වැඩ ආරම්භ වන විට
When work is due,වැඩ නියමිත විට
Where,කොහිද
Will capture:,ග්‍රහණය කරනු ඇත:
Will create:,සාදනු ඇත:
with checklist items,පරීක්ෂා ලැයිස්තු අයිතම සමඟ
Working,වැඩ කරමින්
Workload,වැඩ බර
Workmanship,ශිල්පීය හැකියාව
Write a comment...,අදහසක් ලියන්න...
Write a comment... Use @name to mention (Ctrl+Enter to send),අදහසක් ලියන්න... සඳහන් කිරීමට @නම භාවිතා කරන්න (යැවීමට Ctrl+Enter)
Year,වසර
Yes,ඔව්
Yesterday,ඊයේ
yesterday,ඊයේ
You are not an attendee of this appointment,ඔබ මෙම හමුවීමේ සහභාගිවන්නෙක් නොවේ
You are not linked to any resource,ඔබ කිසිදු සම්පතකට සම්බන්ධ නැත
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,ඔබට ඔබේම අදහස් පමණක් මකා දැමිය හැක
You can only delete your own reactions,ඔබට ඔබේම ප්‍රතිචාර පමණක් මකා දැමිය හැක
You do not have access to the client portal. Please contact support.,ඔබට සේවාදායක ද්වාරයට ප්‍රවේශය නැත. කරුණාකර සහාය අමතන්න.
You have already reacted with '{0}',ඔබ දැනටමත් '{0}' සමඟ ප්‍රතිචාර දක්වා ඇත
You have been assigned to task '{0}' in project '{1}'.,ඔබට '{1}' ව්‍යාපෘතියේ '{0}' කාර්යය පවරා ඇත.
You have been assigned to: {0},ඔබට පවරා ඇත: {0}
You have been invited to the following appointment,ඔබ පහත හමුවීමට ආරාධනා කර ඇත
You have no tasks assigned to you right now.,ඔබට දැනට පවරා ඇති කාර්යයන් නැත.
You were mentioned in {0},ඔබ {0} හි සඳහන් කරන ලදී
Your attendance,ඔබේ පැමිණීම
Your comment has been posted,ඔබේ අදහස පළ කරන ලදී
Your Projects,ඔබේ ව්‍යාපෘති
Your projects will appear here once they're assigned to you.,ඔබේ ව්‍යාපෘති ඔබට පවරා ඇති පසු මෙහි දිස්වනු ඇත.
Your Response,ඔබේ ප්‍රතිචාරය
Your RSVP,ඔබේ RSVP
Your support request has been submitted successfully.,ඔබේ සහාය ඉල්ලීම සාර්ථකව ඉදිරිපත් කරන ලදී.
Your support request has been submitted successfully. We'll get back to you shortly.,ඔබේ සහාය ඉල්ලීම සාර්ථකව ඉදිරිපත් කරන ලදී. අපි ඉක්මනින් ඔබ වෙත සම්බන්ධ වන්නෙමු.
"Your task ""{0}"" is no longer blocked and can now be started.","ඔබේ කාර්යය ""{0}"" තවදුරටත් අවහිර නැති අතර දැන් ආරම්භ කළ හැක."
{0} is required,{0} අවශ්‍යයි
{0} new activities,නව ක්‍රියාකාරකම් {0}
{0} of {1} completed,{1} න් {0} සම්පූර්ණ කළ
{0} projects already migrated (will be skipped or updated),ව්‍යාපෘති {0} දැනටමත් සංක්‍රමණය කර ඇත (මඟ හැරෙනු ඇත හෝ යාවත්කාලීන වනු ඇත)
{0} status changed to {1},{0} තත්ත්වය {1} වෙත වෙනස් විය
{0} tasks remaining,කාර්යයන් {0}ක් ඉතිරිය
{0} tasks without projects will be skipped,ව්‍යාපෘති නොමැති කාර්යයන් {0} මඟ හැරෙනු ඇත
{0} {1} not found,{0} {1} හමු නොවීය
