+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
Replying to,മറുപടി നൽകുന്നു
Replying to comment,അഭിപ്രായത്തിന് മറുപടി നൽകുന്നു
Report Defect,തകരാർ റിപ്പോർട്ട് ചെയ്യുക
Reported Date,റിപ്പോർട്ട് ചെയ്ത തീയതി
Reports,റിപ്പോർട്ടുകൾ
Reports To,റിപ്പോർട്ട് ചെയ്യുന്നത്
Request Submitted!,അഭ്യർത്ഥന സമർപ്പിച്ചു!
Required,ആവശ്യമാണ്
required,ആവശ്യമാണ്
Research,ഗവേഷണം
Reset to Defaults,സ്ഥിരസ്ഥിതികളിലേക്ക് പുനഃസജ്ജമാക്കുക
Resolve,പരിഹരിക്കുക
Resolve thread,ത്രെഡ് പരിഹരിക്കുക
Resolved,പരിഹരിച്ചു
Resolved date cannot be before reported date,പരിഹരിച്ച തീയതി റിപ്പോർട്ട് ചെയ്ത തീയതിക്ക് മുമ്പാകാൻ കഴിയില്ല
Resource,വിഭവം
Resource and skill name are required,വിഭവവും നൈപുണ്യ നാമവും ആവശ്യമാണ്
Resource is already an attendee,വിഭവം ഇതിനകം ഒരു പങ്കെടുക്കുന്നയാളാണ്
Resource name is required,വിഭവ നാമം ആവശ്യമാണ്
Resource not found,വിഭവം കണ്ടെത്തിയില്ല
Resource synced from employee {0},ജീവനക്കാരൻ {0}-ൽ നിന്ന് വിഭവം സമന്വയിപ്പിച്ചു
Resource {0} is already assigned to this task ({1}),വിഭവം {0} ഇതിനകം ഈ ടാസ്കിലേക്ക് ({1}) അസൈൻ ചെയ്തിട്ടുണ്ട്
Resource {0} not found,വിഭവം {0} കണ്ടെത്തിയില്ല
Resources,വിഭവങ്ങൾ
Retry,വീണ്ടും ശ്രമിക്കുക
Review,അവലോകനം
Review all relevant documents and contracts,പ്രസക്തമായ എല്ലാ ഡോക്യുമെന്റുകളും കരാറുകളും അവലോകനം ചെയ്യുക
Reviews,അവലോകനങ്ങൾ
Risk Assessment,അപകടസാധ്യതാ വിലയിരുത്തൽ
Rollback,റോൾബാക്ക്
Rolled back,റോൾബാക്ക് ചെയ്തു
Room or address,മുറി അല്ലെങ്കിൽ വിലാസം
RSVP,RSVP
Safety,സുരക്ഷ
Sat,ശനി
Save,സംരക്ഷിക്കുക
"Save a project as a template, or import one from a JSON file.","ഒരു പ്രോജക്ട് ടെംപ്ലേറ്റായി സേവ് ചെയ്യുക, അല്ലെങ്കിൽ JSON ഫയലിൽ നിന്ന് ഇംപോർട്ട് ചെയ്യുക."
Save as Template,ടെംപ്ലേറ്റായി സേവ് ചെയ്യുക
Save Changes,മാറ്റങ്ങൾ സേവ് ചെയ്യുക
Save failed,സേവ് ചെയ്യൽ പരാജയപ്പെട്ടു
Save Preferences,മുൻഗണനകൾ സേവ് ചെയ്യുക
Save Template,ടെംപ്ലേറ്റ് സേവ് ചെയ്യുക
Saving...,സംരക്ഷിക്കുന്നത്...
Schedule,ഷെഡ്യൂൾ
Schedule type is required for scheduled triggers,ഷെഡ്യൂൾ ചെയ്ത ട്രിഗറുകൾക്ക് ഷെഡ്യൂൾ തരം ആവശ്യമാണ്
Scheduled,ഷെഡ്യൂൾഡ്
Search,തിരച്ചിൽ
"Search by name, email, or skill...","പേര്, ഇമെയിൽ, അല്ലെങ്കിൽ നൈപുണ്യം അനുസരിച്ച് തിരയുക..."
Search for a project...,ഒരു പ്രോജക്ട് തിരയുക...
Search for a task...,ഒരു ടാസ്ക് തിരയുക...
Search for an event...,ഒരു ഇവന്റ് തിരയുക...
Search for people to invite...,ക്ഷണിക്കാൻ ആളുകളെ തിരയുക...
Search tasks to link...,ലിങ്ക് ചെയ്യാൻ ടാസ്കുകൾ തിരയുക...
Search tasks...,ടാസ്കുകൾ തിരയുക...
Search...,തിരയൽ ...
Searching...,തിരയുന്നു...
Seen,കണ്ടതാണ്
Select a project if your request is related to a specific project.,നിങ്ങളുടെ അഭ്യർത്ഥന ഒരു നിശ്ചിത പ്രോജക്ടുമായി ബന്ധപ്പെട്ടതാണെങ്കിൽ ഒരു പ്രോജക്ട് തിരഞ്ഞെടുക്കുക.
Select a project...,ഒരു പ്രോജക്ട് തിരഞ്ഞെടുക്കുക...
Select a task from the Gantt chart to view and manage its details.,വിശദാംശങ്ങൾ കാണാനും നിയന്ത്രിക്കാനും ഗാന്റ് ചാർട്ടിൽ നിന്ന് ഒരു ടാസ്ക് തിരഞ്ഞെടുക്കുക.
Select a task from the list or Kanban board to view and manage its details.,വിശദാംശങ്ങൾ കാണാനും നിയന്ത്രിക്കാനും ലിസ്റ്റിൽ നിന്നോ കാൻബൻ ബോർഡിൽ നിന്നോ ഒരു ടാസ്ക് തിരഞ്ഞെടുക്കുക.
Select a template...,ഒരു ടെംപ്ലേറ്റ് തിരഞ്ഞെടുക്കുക...
Select priority...,മുൻഗണന തിരഞ്ഞെടുക്കുക...
Select status...,സ്ഥിതി തിരഞ്ഞെടുക്കുക...
Select task...,ടാസ്ക് തിരഞ്ഞെടുക്കുക...
Select type...,തരം തിരഞ്ഞെടുക്കുക...
Selection,തിരഞ്ഞെടുപ്പ്
Send,അയയ്ക്കുക
Send comment,അഭിപ്രായം അയയ്ക്കുക
Send email invitations to attendees,പങ്കെടുക്കുന്നവർക്ക് ഇമെയിൽ ക്ഷണങ്ങൾ അയയ്ക്കുക
Send Invitations,ക്ഷണങ്ങൾ അയയ്ക്കുക
Send notification when a task is assigned to a user,ഒരു ഉപയോക്താവിന് ടാസ്ക് അസൈൻ ചെയ്യുമ്പോൾ അറിയിപ്പ് അയയ്ക്കുക
Send notification when task status changes,ടാസ്ക് സ്ഥിതി മാറുമ്പോൾ അറിയിപ്പ് അയയ്ക്കുക
Send reminder before task due date,ടാസ്ക് അവസാന തീയതിക്ക് മുമ്പ് ഓർമ്മപ്പെടുത്തൽ അയയ്ക്കുക
sent,അയച്ചു
Set rate,നിരക്ക് സജ്ജമാക്കുക
Settings,ക്രമീകരണങ്ങൾ
Settings saved successfully,ക്രമീകരണങ്ങൾ വിജയകരമായി സേവ് ചെയ്തു
Severity,തീവ്രത
SF (Start-Finish),SF (ആരംഭം-പൂർത്തീകരണം)
SF - Start-to-Finish,SF - ആരംഭം-മുതൽ-പൂർത്തീകരണം
Show,കാണിക്കുക
Show all,എല്ലാം കാണിക്കുക
Show all changes,എല്ലാ മാറ്റങ്ങളും കാണിക്കുക
Show Archived,ആർക്കൈവ് ചെയ്തവ കാണിക്കുക
Show full diff,പൂർണ diff കാണിക്കുക
Show less,കുറച്ചു കാണിക്കുക
Show more,കൂടുതൽ കാണിക്കുക
Skill added,നൈപുണ്യം ചേർത്തു
Skill is required,നൈപുണ്യം ആവശ്യമാണ്
Skill Name,നൈപുണ്യ നാമം
Skill removed,നൈപുണ്യം നീക്കം ചെയ്തു
Skill {0} already exists for this resource,ഈ വിഭവത്തിന് നൈപുണ്യം {0} ഇതിനകം നിലവിലുണ്ട്
Skills,നൈപുണ്യങ്ങൾ
Skills & Competencies,നൈപുണ്യങ്ങളും കഴിവുകളും
Skip already migrated projects,ഇതിനകം മൈഗ്രേറ്റ് ചെയ്ത പ്രോജക്ടുകൾ ഒഴിവാക്കുക
Sort by,ക്രമീകരിക്കുക
Sort: Due Date,ക്രമീകരണം: അവസാന തീയതി
Sort: Priority,ക്രമീകരണം: മുൻഗണന
Sort: Project,ക്രമീകരണം: പ്രോജക്ട്
Sort: Status,ക്രമീകരണം: സ്ഥിതി
Sort: Task,ക്രമീകരണം: ടാസ്ക്
Source Code,സോഴ്‌സ് കോഡ്
Spent,ചെലവഴിച്ചത്
Spent:,ചെലവഴിച്ചത്:
SS (Start-Start),SS (ആരംഭം-ആരംഭം)
SS - Start-to-Start,SS - ആരംഭം-മുതൽ-ആരംഭം
Standalone,സ്വതന്ത്രം
Start,ആരംഭിക്കുക
Start a discussion below,താഴെ ഒരു ചർച്ച ആരംഭിക്കുക
Start Date,തുടങ്ങുന്ന ദിവസം
Start date,ആരംഭ തീയതി
Start Date (Earliest),ആരംഭ തീയതി (ആദ്യത്തേത്)
Start date updated,ആരംഭ തീയതി അപ്‌ഡേറ്റ് ചെയ്തു
Start date/time is required,ആരംഭ തീയതി/സമയം ആവശ്യമാണ്
Start Migration,മൈഗ്രേഷൻ ആരംഭിക്കുക
Start the conversation below.,താഴെ സംഭാഷണം ആരംഭിക്കുക.
Start Timer,ടൈമർ ആരംഭിക്കുക
Start typing to search...,തിരയാൻ ടൈപ്പ് ചെയ്യാൻ ആരംഭിക്കുക...
Start-to-Finish,ആരംഭം-മുതൽ-പൂർത്തീകരണം
Start-to-Start,ആരംഭം-മുതൽ-ആരംഭം
Start:,ആരംഭം:
Statistics reset,സ്ഥിതിവിവരക്കണക്കുകൾ പുനഃസജ്ജമാക്കി
Status,അവസ്ഥ
Status assigned to new projects,പുതിയ പ്രോജക്ടുകൾക്ക് നൽകിയ സ്ഥിതി
Status assigned to new tasks,പുതിയ ടാസ്കുകൾക്ക് നൽകിയ സ്ഥിതി
Status Changes,സ്ഥിതി മാറ്റങ്ങൾ
Status updated,സ്ഥിതി അപ്‌ഡേറ്റ് ചെയ്തു
Status:,സ്ഥിതി:
Stop,നിർത്തുക
Stop & Save,നിർത്തുക & സേവ് ചെയ്യുക
Stop Timer,ടൈമർ നിർത്തുക
Stops current timer and starts for this event,നിലവിലെ ടൈമർ നിർത്തുകയും ഈ ഇവന്റിന് ആരംഭിക്കുകയും ചെയ്യുന്നു
Stops current timer and starts for this task,നിലവിലെ ടൈമർ നിർത്തുകയും ഈ ടാസ്കിന് ആരംഭിക്കുകയും ചെയ്യുന്നു
Subject,വിഷയം
Subject cannot exceed 255 characters,വിഷയം 255 അക്ഷരങ്ങൾ കവിയാൻ പാടില്ല
Subject is required,വിഷയം ആവശ്യമാണ്
Submit,സമർപ്പിക്കുക
Submit Another Request,മറ്റൊരു അഭ്യർത്ഥന സമർപ്പിക്കുക
Submit Request,അഭ്യർത്ഥന സമർപ്പിക്കുക
Submitting...,സമർപ്പിക്കുന്നു ...
Successfully saved,വിജയകരമായി സേവ് ചെയ്തു
Successors (Blocking),പിൻഗാമികൾ (ബ്ലോക്ക് ചെയ്യുന്നു)
Sun,ഞായർ
Supplier,വിതരണക്കാരൻ
Support,പിന്തുണ
Switch to this event,ഈ ഇവന്റിലേക്ക് മാറുക
Switch to this task,ഈ ടാസ്കിലേക്ക് മാറുക
Sync direction is set to Frappe to Orga only,സമന്വയ ദിശ Frappe-ൽ നിന്ന് Orga-ലേക്ക് മാത്രമായി സജ്ജമാക്കിയിരിക്കുന്നു
Sync direction is set to Orga to Frappe only,സമന്വയ ദിശ Orga-ൽ നിന്ന് Frappe-ലേക്ക് മാത്രമായി സജ്ജമാക്കിയിരിക്കുന്നു
Sync not enabled for this project,ഈ പ്രോജക്ടിന് സമന്വയം പ്രവർത്തനക്ഷമമല്ല
System,സിസ്റ്റം
Table,ടേബിൾ
Take ownership of this task,ഈ ടാസ്കിന്റെ ഉടമസ്ഥത ഏറ്റെടുക്കുക
Target Date,ലക്ഷ്യ തീയതി
Target End,ലക്ഷ്യ അവസാനം
Target Project,ലക്ഷ്യ പ്രോജക്ട്
Target user is required for '{0}' action,'{0}' പ്രവർത്തനത്തിന് ലക്ഷ്യ ഉപയോക്താവ് ആവശ്യമാണ്
task,ടാസ്ക്
Task,ടാസ്ക്
Task '{0}' is due on {1}.,ടാസ്ക് '{0}' {1}-ന് അവസാനിക്കും.
Task and resource are required,ടാസ്കും വിഭവവും ആവശ്യമാണ്
Task Assignment,ടാസ്ക് അസൈൻമെന്റ്
Task cannot be its own parent,ടാസ്കിന് സ്വയം മാതൃ ടാസ്ക് ആകാൻ കഴിയില്ല
Task cannot depend on itself,ടാസ്കിന് സ്വയം ആശ്രയിക്കാൻ കഴിയില്ല
Task cannot depend on the group it belongs to,ടാസ്കിന് അത് ഉൾപ്പെടുന്ന ഗ്രൂപ്പിനെ ആശ്രയിക്കാൻ കഴിയില്ല
Task created,ടാസ്ക് സൃഷ്ടിച്ചു
Task deleted,ടാസ്ക് ഇല്ലാതാക്കി
Task description has been saved.,ടാസ്ക് വിവരണം സേവ് ചെയ്തു.
Task Details,ടാസ്ക് വിശദാംശങ്ങൾ
Task due in {0} days: {1},{0} ദിവസത്തിനുള്ളിൽ ടാസ്ക് അവസാനിക്കും: {1}
Task due today: {0},ഇന്ന് അവസാനിക്കുന്ന ടാസ്ക്: {0}
Task due tomorrow: {0},നാളെ അവസാനിക്കുന്ന ടാസ്ക്: {0}
Task duplicated,ടാസ്ക് ഡ്യൂപ്ലിക്കേറ്റ് ചെയ്തു
Task Group,ടാസ്ക് ഗ്രൂപ്പ്
Task ID is required,ടാസ്ക് ID ആവശ്യമാണ്
Task is blocked by incomplete dependencies,അപൂർണ ആശ്രിതത്വങ്ങൾ മൂലം ടാസ്ക് ബ്ലോക്ക് ചെയ്തിരിക്കുന്നു
Task is cancelled,ടാസ്ക് റദ്ദാക്കി
Task is completed,ടാസ്ക് പൂർത്തിയായി
Task is no longer blocked by a group,ടാസ്ക് ഒരു ഗ്രൂപ്പ് മൂലം ബ്ലോക്ക് ചെയ്തിട്ടില്ല
Task is required for task context,ടാസ്ക് സന്ദർഭത്തിന് ടാസ്ക് ആവശ്യമാണ്
Task is required when tracking context is 'task',ട്രാക്കിംഗ് സന്ദർഭം 'task' ആയിരിക്കുമ്പോൾ ടാസ്ക് ആവശ്യമാണ്
Task linked,ടാസ്ക് ലിങ്ക് ചെയ്തു
Task moved,ടാസ്ക് നീക്കി
Task name,ടാസ്ക് പേര്
Task name is required,ടാസ്ക് പേര് ആവശ്യമാണ്
Task removed from group,ടാസ്ക് ഗ്രൂപ്പിൽ നിന്ന് നീക്കം ചെയ്തു
Task Subject,ടാസ്ക് വിഷയം
Task subject is required,ടാസ്ക് വിഷയം ആവശ്യമാണ്
Task Type,ടാസ്ക് തരം
Task unblocked: {0},ടാസ്ക് അൺബ്ലോക്ക് ചെയ്തു: {0}
Task unlinked,ടാസ്ക് അൺലിങ്ക് ചെയ്തു
Task updated,ടാസ്ക് അപ്‌ഡേറ്റ് ചെയ്തു
Task {0} not found,ടാസ്ക് {0} കണ്ടെത്തിയില്ല
Task {0} not in project {1},ടാസ്ക് {0} പ്രോജക്ട് {1}-ൽ ഇല്ല
Task {0} to Frappe,ടാസ്ക് {0} Frappe-ലേക്ക്
Tasks,ടാസ്കുകൾ
tasks,ടാസ്കുകൾ
Tasks and milestones will be created with dates relative to the project start date.,പ്രോജക്ട് ആരംഭ തീയതിയെ അടിസ്ഥാനമാക്കിയ തീയതികളോടെ ടാസ്കുകളും നാഴികക്കല്ലുകളും സൃഷ്ടിക്കും.
Tasks assigned to you across all projects.,എല്ലാ പ്രോജക്ടുകളിലും നിങ്ങൾക്ക് അസൈൻ ചെയ്ത ടാസ്കുകൾ.
Tasks created:,സൃഷ്ടിച്ച ടാസ്കുകൾ:
Tasks from projects you manage.,നിങ്ങൾ നിയന്ത്രിക്കുന്ന പ്രോജക്ടുകളിൽ നിന്നുള്ള ടാസ്കുകൾ.
Tasks updated:,അപ്‌ഡേറ്റ് ചെയ്ത ടാസ്കുകൾ:
"Tasks, milestones, and dependencies have been created.","ടാസ്കുകൾ, നാഴികക്കല്ലുകൾ, ആശ്രിതത്വങ്ങൾ എന്നിവ സൃഷ്ടിച്ചു."
Tasks:,ടാസ്കുകൾ:
TBD,TBD
Team,ടീം
Team Members,ടീം അംഗങ്ങൾ
Template,ഫലകം
Template applied,ടെംപ്ലേറ്റ് പ്രയോഗിച്ചു
Template data is required in import data,ഇംപോർട്ട് ഡാറ്റയിൽ ടെംപ്ലേറ്റ് ഡാറ്റ ആവശ്യമാണ്
Template has no data,ടെംപ്ലേറ്റിൽ ഡാറ്റ ഇല്ല
Template Name,ടെംപ്ലേറ്റ് പേര്
Template name,ടെംപ്ലേറ്റ് പേര്
Template name is required,ടെംപ്ലേറ്റ് പേര് ആവശ്യമാണ്
Template name is required in import data,ഇംപോർട്ട് ഡാറ്റയിൽ ടെംപ്ലേറ്റ് പേര് ആവശ്യമാണ്
Template saved,ടെംപ്ലേറ്റ് സേവ് ചെയ്തു
Template updated successfully.,ടെംപ്ലേറ്റ് വിജയകരമായി അപ്‌ഡേറ്റ് ചെയ്തു.
Template {0} not found,ടെംപ്ലേറ്റ് {0} കണ്ടെത്തിയില്ല
Templates,ടെംപ്ലേറ്റുകൾ
Tentative,താൽക്കാലികം
The comment has been deleted,അഭിപ്രായം ഇല്ലാതാക്കി
The project,പ്രോജക്ട്
The source document may have been deleted.,ഉറവിട ഡോക്യുമെന്റ് ഇല്ലാതാക്കിയിരിക്കാം.
The source document will not be affected.,ഉറവിട ഡോക്യുമെന്റിനെ ബാധിക്കില്ല.
The status of '{0}' was changed from {1} to {2}.,'{0}'-ന്റെ സ്ഥിതി {1}-ൽ നിന്ന് {2}-ലേക്ക് മാറ്റി.
Theme,തീം
Theme preference,തീം മുൻഗണന
This action,ഈ പ്രവർത്തനം
This action cannot be undone.,ഈ പ്രവർത്തനം പഴയപടിയാക്കാൻ കഴിയില്ല.
This activity has been flagged for attention,ഈ പ്രവർത്തനം ശ്രദ്ധയ്ക്കായി ഫ്ലാഗ് ചെയ്തിരിക്കുന്നു
This is a reminder for your upcoming appointment,നിങ്ങളുടെ വരാനിരിക്കുന്ന അപ്പോയിന്റ്‌മെന്റിനുള്ള ഓർമ്മപ്പെടുത്തലാണിത്
This method is only meant for developer mode,ഈ മെത്തേഡ് ഡെവലപ്പർ മോഡിന് മാത്രമുള്ളതാണ്
This page wandered off,This page wandered off
This Week,ഈ ആഴ്ച
This will delete all notes and preferences associated with this activity.,ഈ പ്രവർത്തനവുമായി ബന്ധപ്പെട്ട എല്ലാ കുറിപ്പുകളും മുൻഗണനകളും ഇത് ഇല്ലാതാക്കും.
This will import all Frappe Projects into Orga. Continue?,ഇത് എല്ലാ Frappe പ്രോജക്ടുകളും Orga-ലേക്ക് ഇംപോർട്ട് ചെയ്യും. തുടരണോ?
This will permanently delete,ഇത് ശാശ്വതമായി ഇല്ലാതാക്കും
This will permanently delete:,ഇത് ശാശ്വതമായി ഇല്ലാതാക്കും:
Thu,വ്യാഴം
Time,സമയം
Time & Billing,സമയവും ബില്ലിംഗും
Time & Revenue,സമയവും വരുമാനവും
Time Entries,സമയ എൻട്രികൾ
Time log name is required,ടൈം ലോഗ് പേര് ആവശ്യമാണ്
Time Log not found,ടൈം ലോഗ് കണ്ടെത്തിയില്ല
Time log {0} not found,ടൈം ലോഗ് {0} കണ്ടെത്തിയില്ല
Time Logs,ടൈം ലോഗുകൾ
Time Summary,സമയ സംഗ്രഹം
Time Tracking,സമയ ട്രാക്കിംഗ്
Timeline,ടൈംലൈൻ
Timer active on,ടൈമർ സജീവമാണ്
Timer is not running,ടൈമർ പ്രവർത്തിക്കുന്നില്ല
Timer Running,ടൈമർ പ്രവർത്തിക്കുന്നു
Timer running,ടൈമർ പ്രവർത്തിക്കുന്നു
Timesheet DocType not available,Timesheet DocType ലഭ്യമല്ല
Timesheets,ടൈംഷീറ്റുകൾ
Timezone,സമയ മേഖല
Timezone is detected from your browser,നിങ്ങളുടെ ബ്രൗസറിൽ നിന്ന് സമയ മേഖല കണ്ടെത്തി
Title,ശീർഷകം
Title cannot exceed 255 characters,ശീർഷകം 255 അക്ഷരങ്ങൾ കവിയാൻ പാടില്ല
Title is required,ശീർഷകം ആവശ്യമാണ്
Title updated,ശീർഷകം അപ്‌ഡേറ്റ് ചെയ്തു
To,ലേക്ക്
to,-ലേക്ക്
to cancel,റദ്ദാക്കാൻ
to close,അടയ്ക്കാൻ
to confirm:,സ്ഥിരീകരിക്കാൻ:
to edit,എഡിറ്റ് ചെയ്യാൻ
"to save,","സേവ് ചെയ്യാൻ,"
To Time cannot be before From Time,അവസാന സമയം ആരംഭ സമയത്തിന് മുമ്പാകാൻ കഴിയില്ല
Today,ഇന്ന്
today,ഇന്ന്
Toggle billable,ബില്ലബിൾ മാറ്റുക
Toggle Details Panel,വിശദാംശ പാനൽ മാറ്റുക
Toggle Manager Panel,മാനേജർ പാനൽ മാറ്റുക
Toggle Sidebar,സൈഡ്ബാർ ടോഗിൾ ചെയ്യുക
Tomorrow,നാളെ
tomorrow,നാളെ
Total,ആകെ
Total Budget,മൊത്തം ബജറ്റ്
Total Contacts,മൊത്തം കോൺടാക്ടുകൾ
Total Cost,മൊത്തം ചെലവ്
Total Cost to Org,സ്ഥാപനത്തിനുള്ള മൊത്തം ചെലവ്
Total Defect Cost,മൊത്തം തകരാർ ചെലവ്
Total Hours,മൊത്തം മണിക്കൂറുകൾ
Total Hours Logged,രേഖപ്പെടുത്തിയ മൊത്തം മണിക്കൂറുകൾ
Total Projects,മൊത്തം പ്രോജക്ടുകൾ
Total Spent,മൊത്തം ചെലവഴിച്ചത്
Total Tasks,മൊത്തം ടാസ്കുകൾ
Total:,മൊത്തം:
Tracked,ട്രാക്ക് ചെയ്തത്
trails to today while Open at 0%,0% ൽ Open ആയിരിക്കുമ്പോൾ ഇന്ന് വരെ ട്രെയിൽ ചെയ്യുന്നു
Tried:,Tried:
Try adjusting your filter criteria,നിങ്ങളുടെ ഫിൽട്ടർ മാനദണ്ഡങ്ങൾ ക്രമീകരിച്ച് നോക്കുക
Try adjusting your filters.,നിങ്ങളുടെ ഫിൽട്ടറുകൾ ക്രമീകരിച്ച് നോക്കുക.
Try Again,വീണ്ടും ശ്രമിക്കുക
Tue,ചൊവ്വ
Type,തരം
Type updated,തരം അപ്‌ഡേറ്റ് ചെയ്തു
Type:,ടൈപ്പ്:
Typical response time: 1-2 business days,സാധാരണ പ്രതികരണ സമയം: 1-2 പ്രവൃത്തി ദിവസങ്ങൾ
Unarchive,ആർക്കൈവ് നീക്കം ചെയ്യുക
Unarchive Activity,പ്രവർത്തനം ആർക്കൈവിൽ നിന്ന് നീക്കം ചെയ്യുക
Unassign,അസൈൻ നീക്കം ചെയ്യുക
Unassigned,അസൈൻ ചെയ്യാത്തത്
Under Budget,ബജറ്റിനുള്ളിൽ
Ungrouped,ഗ്രൂപ്പ് ചെയ്യാത്തത്
Unknown,അജ്ഞാതം
Unknown error,അജ്ഞാത പിശക്
Unlink failed,അൺലിങ്ക് പരാജയപ്പെട്ടു
Unlink task from milestone,നാഴികക്കല്ലിൽ നിന്ന് ടാസ്ക് അൺലിങ്ക് ചെയ്യുക
Unpin,അൺപിൻ ചെയ്യുക
Unpin Activity,പ്രവർത്തനം അൺപിൻ ചെയ്യുക
Unread,വായിക്കാത്ത
Unread only,വായിക്കാത്തവ മാത്രം
Until,വരെ
Up to Date,Up to Date
Upcoming,വരാനിരിക്കുന്നത്
upcoming,വരാനിരിക്കുന്നത്
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,അപ്‌ഡേറ്റ് പരാജയപ്പെട്ടു
Updated,അപ്ഡേറ്റ്
Updated successfully,വിജയകരമായി അപ്‌ഡേറ്റുചെയ്‌തു
Updates,Updates
Upload,അപ്ലോഡുചെയ്യുക
Upload failed,അപ്ലോഡ് പരാജയപ്പെട്ടു
Upload files below to attach them to this task.,ഈ ടാസ്കിലേക്ക് അറ്റാച്ച് ചെയ്യാൻ താഴെ ഫയലുകൾ അപ്‌ലോഡ് ചെയ്യുക.
Upload to project,പ്രോജക്ടിലേക്ക് അപ്‌ലോഡ് ചെയ്യുക
Uploading...,അപ്‌ലോഡ് ചെയ്യുന്നു...
Urgent,അടിയന്തിരം
User {0} is already linked to client {1},ഉപയോക്താവ് {0} ഇതിനകം ക്ലയന്റ് {1}-ലേക്ക് ലിങ്ക് ചെയ്തിട്ടുണ്ട്
User {0} is already linked to resource {1},ഉപയോക്താവ് {0} ഇതിനകം വിഭവം {1}-ലേക്ക് ലിങ്ക് ചെയ്തിട്ടുണ്ട്
Utilization,ഉപയോഗം
Valid,സാധുവായ
Value:,മൂല്യം:
Variance,വ്യത്യാസം
Variance:,വ്യത്യാസം:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,കാണുക
View All,എല്ലാം കാണുക
View all active projects,എല്ലാ സജീവ പ്രോജക്ടുകളും കാണുക
View all open tasks,എല്ലാ തുറന്ന ടാസ്കുകളും കാണുക
View overdue tasks,കാലഹരണപ്പെട്ട ടാസ്കുകൾ കാണുക
View Release,View Release
Visibility,ദൃശ്യത
Waiting for this task,ഈ ടാസ്കിനായി കാത്തിരിക്കുന്നു
Waits for:,കാത്തിരിക്കുന്നു:
Warning: Resource {0} status is {1},മുന്നറിയിപ്പ്: വിഭവം {0}-ന്റെ സ്ഥിതി {1} ആണ്
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,മുന്നറിയിപ്പ്: HTTPS-ന് പകരം HTTP ഉപയോഗിക്കുന്നു. Webhook പേലോഡുകൾ സുരക്ഷിതമായിരിക്കില്ല.
Watch budget closely,ബജറ്റ് സൂക്ഷ്മമായി നിരീക്ഷിക്കുക
We'll respond to:,ഞങ്ങൾ പ്രതികരിക്കും:
Webhook deleted,Webhook ഇല്ലാതാക്കി
Webhook name is required,Webhook പേര് ആവശ്യമാണ്
Webhook not found,Webhook കണ്ടെത്തിയില്ല
Webhook URL is required,Webhook URL ആവശ്യമാണ്
Webhook URL must start with http:// or https://,Webhook URL http:// അല്ലെങ്കിൽ https://-ൽ ആരംഭിക്കണം
Wed,ബുധൻ
Week,ആഴ്ച
Weekend,വാരാന്ത്യം
Weekly Capacity,ആഴ്ചക്കുള്ള ശേഷി
weekly capacity,ആഴ്ചക്കുള്ള ശേഷി
Weekly Capacity (h),ആഴ്ചക്കുള്ള ശേഷി (മ)
Welcome,സ്വാഗതം
Welcome back!,തിരിച്ചു സ്വാഗതം!
Welcome to Orga,Orga-ലേക്ക് സ്വാഗതം
What are you working on?,നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്?
What did you work on?,നിങ്ങൾ എന്താണ് ചെയ്തത്?
When,എപ്പോൾ
When work begins,ജോലി ആരംഭിക്കുമ്പോൾ
When work is due,ജോലി അവസാനിക്കേണ്ടപ്പോൾ
Where,എവിടെ
Will capture:,ക്യാപ്ചർ ചെയ്യും:
Will create:,സൃഷ്ടിക്കും:
with checklist items,ചെക്ക്‌ലിസ്റ്റ് ഇനങ്ങളോടെ
Working,പ്രവർത്തിക്കുന്നു
Workload,ജോലിഭാരം
Workmanship,പണിത്തരം
Write a comment...,ഒരു അഭിപ്രായം എഴുതുക...
Write a comment... Use @name to mention (Ctrl+Enter to send),ഒരു അഭിപ്രായം എഴുതുക... പരാമർശിക്കാൻ @name ഉപയോഗിക്കുക (അയയ്ക്കാൻ Ctrl+Enter)
Year,വർഷം
Yes,അതെ
Yesterday,ഇന്നലെ
yesterday,ഇന്നലെ
You are not an attendee of this appointment,നിങ്ങൾ ഈ അപ്പോയിന്റ്‌മെന്റിൽ പങ്കെടുക്കുന്നയാളല്ല
You are not linked to any resource,നിങ്ങൾ ഒരു വിഭവവുമായും ലിങ്ക് ചെയ്തിട്ടില്ല
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,നിങ്ങളുടെ സ്വന്തം അഭിപ്രായങ്ങൾ മാത്രമേ ഇല്ലാതാക്കാൻ കഴിയൂ
You can only delete your own reactions,നിങ്ങളുടെ സ്വന്തം പ്രതികരണങ്ങൾ മാത്രമേ ഇല്ലാതാക്കാൻ കഴിയൂ
You do not have access to the client portal. Please contact support.,ക്ലയന്റ് പോർട്ടലിലേക്ക് നിങ്ങൾക്ക് ആക്‌സസ് ഇല്ല. ദയവായി പിന്തുണയുമായി ബന്ധപ്പെടുക.
