+ Add Milestone,+ ເພີ່ມຈຸດໝາຍ
Subject is required,ຕ້ອງລະບຸຫົວຂໍ້
Submit,ສົ່ງ
Submit Another Request,ສົ່ງຄຳຮ້ອງຂໍອື່ນ
Submit Request,ສົ່ງຄຳຮ້ອງຂໍ
Submitting...,ກຳລັງສົ່ງ...
Successfully saved,ບັນທຶກສຳເລັດ
Successors (Blocking),ໜ້າວຽກຕໍ່ໄປ (ກຳລັງບລ໋ອກ)
Sun,ອາທິດ
Supplier,ຜູ້ສະໜອງ
Support,ການຊ່ວຍເຫຼືອ
Switch to this event,ສະລັບໄປເຫດການນີ້
Switch to this task,ສະລັບໄປໜ້າວຽກນີ້
Sync direction is set to Frappe to Orga only,ທິດທາງການຊິ້ງຕັ້ງເປັນ Frappe ໄປ Orga ເທົ່ານັ້ນ
Sync direction is set to Orga to Frappe only,ທິດທາງການຊິ້ງຕັ້ງເປັນ Orga ໄປ Frappe ເທົ່ານັ້ນ
Sync not enabled for this project,ການຊິ້ງບໍ່ໄດ້ເປີດໃຊ້ງານສຳລັບໂຄງການນີ້
System,ລະບົບ
Table,ຕາຕະລາງ
Take ownership of this task,ຮັບເອົາໜ້າວຽກນີ້
Target Date,ວັນທີເປົ້າໝາຍ
Target End,ສິ້ນສຸດເປົ້າໝາຍ
Target Project,ໂຄງການເປົ້າໝາຍ
Target user is required for '{0}' action,ຕ້ອງລະບຸຜູ້ໃຊ້ເປົ້າໝາຍສຳລັບການກະທຳ '{0}'
task,ໜ້າວຽກ
Task,ໜ້າວຽກ
Task '{0}' is due on {1}.,ໜ້າວຽກ '{0}' ກຳນົດສົ່ງ {1}.
Task and resource are required,ຕ້ອງລະບຸໜ້າວຽກ ແລະ ຊັບພະຍາກອນ
Task Assignment,ການມອบໝາຍໜ້າວຽກ
Task cannot be its own parent,ໜ້າວຽກບໍ່ສາມາດເປັນພໍ່ແມ່ຂອງຕົນເອງ
Task cannot depend on itself,ໜ້າວຽກບໍ່ສາມາດເພິ່ງພາຕົນເອງ
Task cannot depend on the group it belongs to,ໜ້າວຽກບໍ່ສາມາດເພິ່ງພາກຸ່ມທີ່ຕົນເອງຢູ່
Task created,ສ້າງໜ້າວຽກແລ້ວ
Task deleted,ລຶບໜ້າວຽກແລ້ວ
Task description has been saved.,ບັນທຶກລາຍລະອຽດໜ້າວຽກແລ້ວ.
Task Details,ລາຍລະອຽດໜ້າວຽກ
Task due in {0} days: {1},ໜ້າວຽກກຳນົດສົ່ງໃນ {0} ມື້: {1}
Task due today: {0},ໜ້າວຽກກຳນົດສົ່ງມື້ນີ້: {0}
Task due tomorrow: {0},ໜ້າວຽກກຳນົດສົ່ງມື້ອື່ນ: {0}
Task duplicated,ສຳເນົາໜ້າວຽກແລ້ວ
Task Group,ກຸ່ມໜ້າວຽກ
Task ID is required,ຕ້ອງລະບຸ ID ໜ້າວຽກ
Task is blocked by incomplete dependencies,ໜ້າວຽກຖືກບລ໋ອກໂດຍການເພິ່ງພາທີ່ບໍ່ສົມບູນ
Task is cancelled,ໜ້າວຽກຖືກຍົກເລີກ
Task is completed,ໜ້າວຽກສຳເລັດແລ້ວ
Task is no longer blocked by a group,ໜ້າວຽກບໍ່ຖືກບລ໋ອກໂດຍກຸ່ມອີກແລ້ວ
Task is required for task context,ຕ້ອງມີໜ້າວຽກສຳລັບບໍລິບົດໜ້າວຽກ
Task is required when tracking context is 'task',ຕ້ອງມີໜ້າວຽກເມື່ອບໍລິບົດການຕິດຕາມເປັນ 'ໜ້າວຽກ'
Task linked,ເຊື່ອມຕໍ່ໜ້າວຽກແລ້ວ
Task moved,ຍ້າຍໜ້າວຽກແລ້ວ
Task name,ຊື່ໜ້າວຽກ
Task name is required,ຕ້ອງລະບຸຊື່ໜ້າວຽກ
Task removed from group,ລຶບໜ້າວຽກຈາກກຸ່ມແລ້ວ
Task Subject,ຫົວຂໍ້ໜ້າວຽກ
Task subject is required,ຕ້ອງລະບຸຫົວຂໍ້ໜ້າວຽກ
Task Type,ປະເພດໜ້າວຽກ
Task unblocked: {0},ປົດບລ໋ອກໜ້າວຽກ: {0}
Task unlinked,ຍົກເລີກການເຊື່ອມຕໍ່ໜ້າວຽກແລ້ວ
Task updated,ອັບເດດໜ້າວຽກແລ້ວ
Task {0} not found,ບໍ່ພົບໜ້າວຽກ {0}
Task {0} not in project {1},ໜ້າວຽກ {0} ບໍ່ຢູ່ໃນໂຄງການ {1}
Task {0} to Frappe,ໜ້າວຽກ {0} ໄປ Frappe
Tasks,ໜ້າວຽກ
tasks,ໜ້າວຽກ
Tasks and milestones will be created with dates relative to the project start date.,ໜ້າວຽກ ແລະ ຈຸດໝາຍຈະຖືກສ້າງດ້ວຍວັນທີສຳພັນກັບວັນທີເລີ່ມຕົ້ນໂຄງການ.
Tasks assigned to you across all projects.,ໜ້າວຽກທີ່ມອບໝາຍໃຫ້ທ່ານທົ່ວທຸກໂຄງການ.
Tasks created:,ໜ້າວຽກທີ່ສ້າງ:
Tasks from projects you manage.,ໜ້າວຽກຈາກໂຄງການທີ່ທ່ານຈັດການ.
Tasks updated:,ໜ້າວຽກທີ່ອັບເດດ:
"Tasks, milestones, and dependencies have been created.","ໜ້າວຽກ, ຈຸດໝາຍ, ແລະ ການເພິ່ງພາຖືກສ້າງແລ້ວ."
Tasks:,ໜ້າວຽກ:
TBD,ຈະແຈ້ງພາຍຫຼັງ
Team,ທີມ
Team Members,ສະມາຊິກທີມ
Template,ແມ່ແບບ
Template applied,ນຳໃຊ້ແມ່ແບບແລ້ວ
Template data is required in import data,ຕ້ອງມີຂໍ້ມູນແມ່ແບບໃນຂໍ້ມູນນຳເຂົ້າ
Template has no data,ແມ່ແບບບໍ່ມີຂໍ້ມູນ
Template Name,ຊື່ແມ່ແບບ
Template name,ຊື່ແມ່ແບບ
Template name is required,ຕ້ອງລະບຸຊື່ແມ່ແບບ
Template name is required in import data,ຕ້ອງລະບຸຊື່ແມ່ແບບໃນຂໍ້ມູນນຳເຂົ້າ
Template saved,ບັນທຶກແມ່ແບບແລ້ວ
Template updated successfully.,ອັບເດດແມ່ແບບສຳເລັດແລ້ວ.
Template {0} not found,ບໍ່ພົບແມ່ແບບ {0}
Templates,ແມ່ແບບ
Tentative,ຊົ່ວຄາວ
The comment has been deleted,ລຶບຄຳເຫັນແລ້ວ
The project,ໂຄງການ
The source document may have been deleted.,ເອກະສານຕົ້ນສະບັບອາດຖືກລຶບແລ້ວ.
The source document will not be affected.,ເອກະສານຕົ້ນສະບັບຈະບໍ່ຖືກກະທົບ.
The status of '{0}' was changed from {1} to {2}.,ສະຖານະຂອງ '{0}' ຖືກປ່ຽນຈາກ {1} ເປັນ {2}.
Theme,ຮູບແບບ
Theme preference,ການຕັ້ງຄ່າຮູບແບບ
This action,ການກະທຳນີ້
This action cannot be undone.,ການກະທຳນີ້ບໍ່ສາມາດຍ້ອນກັບໄດ້.
This activity has been flagged for attention,ກິດຈະກຳນີ້ຖືກໝາຍທຸງເພື່ອເອົາໃຈໃສ່
This is a reminder for your upcoming appointment,ນີ້ແມ່ນການເຕືອນສຳລັບນັດໝາຍທີ່ຈະມາເຖິງຂອງທ່ານ
This method is only meant for developer mode,ວິທີນີ້ໃຊ້ສຳລັບໂໝດນັກພັດທະນາເທົ່ານັ້ນ
This page wandered off,This page wandered off
This Week,ອາທິດນີ້
This will delete all notes and preferences associated with this activity.,ນີ້ຈະລຶບບັນທຶກ ແລະ ການຕັ້ງຄ່າທັງໝົດທີ່ກ່ຽວຂ້ອງກັບກິດຈະກຳນີ້.
This will import all Frappe Projects into Orga. Continue?,ນີ້ຈະນຳເຂົ້າ Frappe Projects ທັງໝົດເຂົ້າ Orga. ສືບຕໍ່?
This will permanently delete,ນີ້ຈະລຶບຖາວອນ
This will permanently delete:,ນີ້ຈະລຶບຖາວອນ:
Thu,ພະຫັດ
Time,ເວລາ
Time & Billing,ເວລາ ແລະ ການຄິດຄ່າບໍລິການ
Time & Revenue,ເວລາ ແລະ ລາຍຮັບ
Time Entries,ລາຍການເວລາ
Time log name is required,ຕ້ອງລະບຸຊື່ບັນທຶກເວລາ
Time Log not found,ບໍ່ພົບບັນທຶກເວລາ
Time log {0} not found,ບໍ່ພົບບັນທຶກເວລາ {0}
Time Logs,ບັນທຶກເວລາ
Time Summary,ສະຫຼຸບເວລາ
Time Tracking,ການຕິດຕາມເວລາ
Timeline,ໄລນ໌ເວລາ
Timer active on,ໂມງຈັບເວລາເປີດໃຊ້ງານຢູ່
Timer is not running,ໂມງຈັບເວລາບໍ່ໄດ້ແລ່ນ
Timer Running,ໂມງຈັບເວລາກຳລັງແລ່ນ
Timer running,ໂມງຈັບເວລາກຳລັງແລ່ນ
Timesheet DocType not available,DocType ໃບບັນທຶກເວລາບໍ່ພ້ອມໃຊ້ງານ
Timesheets,ໃບບັນທຶກເວລາ
Timezone,ເຂດເວລາ
Timezone is detected from your browser,ເຂດເວລາຖືກກວດຫາຈາກບຣາວເຊີຂອງທ່ານ
Title,ຫົວຂໍ້
Title cannot exceed 255 characters,ຫົວຂໍ້ບໍ່ສາມາດເກີນ 255 ຕົວອັກສອນ
Title is required,ຕ້ອງລະບຸຫົວຂໍ້
Title updated,ອັບເດດຫົວຂໍ້ແລ້ວ
To,ຫາ
to,ຫາ
to cancel,ເພື່ອຍົກເລີກ
to close,ເພື່ອປິດ
to confirm:,ເພື່ອຢືນຢັນ:
to edit,ເພື່ອແກ້ໄຂ
"to save,","ເພື່ອບັນທຶກ,"
To Time cannot be before From Time,ເວລາສິ້ນສຸດບໍ່ສາມາດຢູ່ກ່ອນເວລາເລີ່ມຕົ້ນ
Today,ມື້ນີ້
today,ມື້ນີ້
Toggle billable,ສະລັບການຄິດຄ່າບໍລິການ
Toggle Details Panel,ສະລັບແຜງລາຍລະອຽດ
Toggle Manager Panel,ສະລັບແຜງຜູ້ຈັດການ
Toggle Sidebar,ສະລັບແຖບຂ້າງ
Tomorrow,ມື້ອື່ນ
tomorrow,ມື້ອື່ນ
Total,ລວມ
Total Budget,ງົບປະມານລວມ
Total Contacts,ຜູ້ຕິດຕໍ່ລວມ
Total Cost,ຄ່າໃຊ້ຈ່າຍລວມ
Total Cost to Org,ຄ່າໃຊ້ຈ່າຍລວมຂອງອົງກອນ
Total Defect Cost,ຄ່າໃຊ້ຈ່າຍຂໍ້ບົກພ່ອງລວມ
Total Hours,ຊົ່ວໂມງລວມ
Total Hours Logged,ຊົ່ວໂມງທີ່ບັນທຶກລວມ
Total Projects,ໂຄງການລວມ
Total Spent,ໃຊ້ໄປລວມ
Total Tasks,ໜ້າວຽກລວມ
Total:,ລວມ:
Tracked,ຕິດຕາມແລ້ວ
trails to today while Open at 0%,ຕິດຕາມຈົນເຖິງມື້ນີ້ໃນຂະນະທີ່ເປີດຢູ່ທີ່ 0%
Tried:,Tried:
Try adjusting your filter criteria,ລອງປັບເງື່ອນໄຂຕົວກອງ
Try adjusting your filters.,ລອງປັບຕົວກອງ.
Try Again,ລອງໃໝ່
Tue,ອັງຄານ
Type,ປະເພດ
Type updated,ອັບເດດປະເພດແລ້ວ
Type:,ປະເພດ:
Typical response time: 1-2 business days,ເວລາຕອບກັບປົກກະຕິ: 1-2 ມື້ລັດຖະການ
Unarchive,ຍົກເລີກການເກັບມ້ຽນ
Unarchive Activity,ຍົກເລີກການເກັບມ້ຽນກິດຈະກຳ
Unassign,ຍົກເລີກການມອບໝາຍ
Unassigned,ບໍ່ໄດ້ມອບໝາຍ
Under Budget,ຕ່ຳກວ່າງົບປະມານ
Ungrouped,ບໍ່ໄດ້ຈັດກຸ່ມ
Unknown,ບໍ່ຮູ້
Unknown error,ຂໍ້ຜິດພາດທີ່ບໍ່ຮູ້
Unlink failed,ການຍົກເລີກການເຊື່ອມຕໍ່ລົ້ມເຫຼວ
Unlink task from milestone,ຍົກເລີກການເຊື່ອມຕໍ່ໜ້າວຽກຈາກຈຸດໝາຍ
Unpin,ຖອດປັກໝຸດ
Unpin Activity,ຖອດປັກໝຸດກິດຈະກຳ
Unread,ຍັງບໍ່ໄດ້ອ່ານ
Unread only,ຍັງບໍ່ໄດ້ອ່ານເທົ່ານັ້ນ
Until,ຈົນເຖິງ
Up to Date,Up to Date
Upcoming,ກຳລັງຈະມາ
upcoming,ກຳລັງຈະມາ
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,ການອັບເດດລົ້ມເຫຼວ
Updated,ອັບເດດແລ້ວ
Updated successfully,ອັບເດດສຳເລັດແລ້ວ
Updates,Updates
Upload,ອັບໂຫຼດ
Upload failed,ການອັບໂຫຼດລົ້ມເຫຼວ
Upload files below to attach them to this task.,ອັບໂຫຼດໄຟລ໌ດ້ານລຸ່ມເພື່ອແນບກັບໜ້າວຽກນີ້.
Upload to project,ອັບໂຫຼດໄປໂຄງການ
Uploading...,ກຳລັງອັບໂຫຼດ...
Urgent,ດ່ວນ
User {0} is already linked to client {1},ຜູ້ໃຊ້ {0} ເຊື່ອມຕໍ່ກັບລູກຄ້າ {1} ແລ້ວ
User {0} is already linked to resource {1},ຜູ້ໃຊ້ {0} ເຊື່ອມຕໍ່ກັບຊັບພະຍາກອນ {1} ແລ້ວ
Utilization,ການນຳໃຊ້
Valid,ຖືກຕ້ອງ
Value:,ຄ່າ:
Variance,ຄວາມແຕກຕ່າງ
Variance:,ຄວາມແຕກຕ່າງ:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,ເບິ່ງ
View All,ເບິ່ງທັງໝົດ
View all active projects,ເບິ່ງໂຄງການທີ່ເປີດໃຊ້ງານທັງໝົດ
View all open tasks,ເບິ່ງໜ້າວຽກທີ່ເປີດທັງໝົດ
View overdue tasks,ເບິ່ງໜ້າວຽກທີ່ເກີນກຳນົດ
View Release,View Release
Visibility,ການເບິ່ງເຫັນ
Waiting for this task,ລໍຖ້າໜ້າວຽກນີ້
Waits for:,ລໍຖ້າ:
Warning: Resource {0} status is {1},ຄຳເຕືອນ: ສະຖານະຊັບພະຍາກອນ {0} ເປັນ {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,ຄຳເຕືອນ: ໃຊ້ HTTP ແທນ HTTPS. ຂໍ້ມູນ Webhook ອາດບໍ່ປອດໄພ.
Watch budget closely,ຕິດຕາມງົບປະມານຢ່າງໃກ້ຊິດ
We'll respond to:,ພວກເຮົາຈະຕອບກັບ:
Webhook deleted,ລຶບ Webhook ແລ້ວ
Webhook name is required,ຕ້ອງລະບຸຊື່ Webhook
Webhook not found,ບໍ່ພົບ Webhook
Webhook URL is required,ຕ້ອງລະບຸ URL Webhook
Webhook URL must start with http:// or https://,URL Webhook ຕ້ອງເລີ່ມຕົ້ນດ້ວຍ http:// ຫຼື https://
Wed,ພຸດ
Week,ອາທິດ
Weekend,ທ້າຍອາທິດ
Weekly Capacity,ຄວາມສາມາດຕໍ່ອາທິດ
weekly capacity,ຄວາມສາມາດຕໍ່ອາທິດ
Weekly Capacity (h),ຄວາມສາມາດຕໍ່ອາທິດ (ຊມ)
Welcome,ຍິນດີຕ້ອນຮັບ
Welcome back!,ຍິນດີຕ້ອນຮັບກັບຄືນ!
Welcome to Orga,ຍິນດີຕ້ອນຮັບສູ່ Orga
What are you working on?,ທ່ານກຳລັງເຮັດຫຍັງ?
What did you work on?,ທ່ານເຮັດວຽກຫຍັງ?
When,ເມື່ອ
When work begins,ເມື່ອວຽກເລີ່ມ
When work is due,ເມື່ອວຽກກຳນົດສົ່ງ
Where,ບ່ອນໃດ
Will capture:,ຈະບັນທຶກ:
Will create:,ຈະສ້າງ:
with checklist items,ພ້ອมລາຍການກວດກາ
Working,ກຳລັງເຮັດ
Workload,ປະລິມານວຽກ
Workmanship,ຝີມືແຮງງານ
Write a comment...,ຂຽນຄຳເຫັນ...
Write a comment... Use @name to mention (Ctrl+Enter to send),ຂຽນຄຳເຫັນ... ໃຊ້ @ຊື່ ເພື່ອກ່າວເຖິງ (Ctrl+Enter ເພື່ອສົ່ງ)
Year,ປີ
Yes,ແມ່ນ
Yesterday,ມື້ວານ
yesterday,ມື້ວານ
You are not an attendee of this appointment,ທ່ານບໍ່ແມ່ນຜູ້ເຂົ້າຮ່ວມຂອງນັດໝາຍນີ້
You are not linked to any resource,ທ່ານບໍ່ໄດ້ເຊື່ອມຕໍ່ກັບຊັບພະຍາກອນໃດ
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,ທ່ານສາມາດລຶບໄດ້ແຕ່ຄຳເຫັນຂອງຕົນເອງ
You can only delete your own reactions,ທ່ານສາມາດລຶບໄດ້ແຕ່ປະຕິກິລິຍາຂອງຕົນເອງ
You do not have access to the client portal. Please contact support.,ທ່ານບໍ່ມີສິດເຂົ້າເຖິງພອລ໌ທອນລູກຄ້າ. ກະລຸນາຕິດຕໍ່ຝ່າຍຊ່ວຍເຫຼືອ.
You have already reacted with '{0}',ທ່ານໄດ້ສະແດງປະຕິກິລິຍາ '{0}' ແລ້ວ
You have been assigned to task '{0}' in project '{1}'.,ທ່ານໄດ້ຖືກມອບໝາຍໃຫ້ໜ້າວຽກ '{0}' ໃນໂຄງການ '{1}'.
You have been assigned to: {0},ທ່ານໄດ້ຖືກມອບໝາຍໃຫ້: {0}
You have been invited to the following appointment,ທ່ານໄດ້ຖືກເຊີນເຂົ້າຮ່ວມນັດໝາຍຕໍ່ໄປນີ້
You have no tasks assigned to you right now.,ທ່ານບໍ່ມີໜ້າວຽກທີ່ມອບໝາຍໃຫ້ໃນຕອນນີ້.
You were mentioned in {0},ທ່ານຖືກກ່າວເຖິງໃນ {0}
Your attendance,ການເຂົ້າຮ່ວມຂອງທ່ານ
Your comment has been posted,ໂພສຄຳເຫັນຂອງທ່ານແລ້ວ
Your Projects,ໂຄງການຂອງທ່ານ
Your projects will appear here once they're assigned to you.,ໂຄງການຂອງທ່ານຈະປາກົດຢູ່ນີ້ເມື່ອຖືກມອບໝາຍໃຫ້ທ່ານ.
Your Response,ການຕອບຂອງທ່ານ
Your RSVP,RSVP ຂອງທ່ານ
Your support request has been submitted successfully.,ຄຳຮ້ອງຂໍການຊ່ວຍເຫຼືອຂອງທ່ານໄດ້ຖືກສົ່ງສຳເລັດແລ້ວ.
Your support request has been submitted successfully. We'll get back to you shortly.,ຄຳຮ້ອງຂໍການຊ່ວຍເຫຼືອຂອງທ່ານໄດ້ຖືກສົ່ງສຳເລັດແລ້ວ. ພວກເຮົາຈະຕິດຕໍ່ກັບທ່ານໃນໄວໆນີ້.
"Your task ""{0}"" is no longer blocked and can now be started.","ໜ້າວຽກ ""{0}"" ຂອງທ່ານບໍ່ຖືກບລ໋ອກອີກແລ້ວ ແລະ ສາມາດເລີ່ມໄດ້ແລ້ວ."
{0} is required,{0} ຈຳເປັນ
{0} new activities,{0} ກິດຈະກຳໃໝ່
{0} of {1} completed,{0} ຈາກ {1} ສຳເລັດ
{0} projects already migrated (will be skipped or updated),{0} ໂຄງການຍ້າຍຂໍ້ມູນແລ້ວ (ຈະຖືກຂ້າມ ຫຼື ອັບເດດ)
{0} status changed to {1},ສະຖານະ {0} ປ່ຽນເປັນ {1}
{0} tasks remaining,{0} ໜ້າວຽກເຫຼືອ
{0} tasks without projects will be skipped,{0} ໜ້າວຽກທີ່ບໍ່ມີໂຄງການຈະຖືກຂ້າມ
{0} {1} not found,ບໍ່ພົບ {0} {1}
