+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
No Orga Project linked to Frappe Project {0},Frappe ಯೋಜನೆ {0} ಗೆ Orga ಯೋಜನೆ ಲಿಂಕ್ ಆಗಿಲ್ಲ
No overdue tasks,ವಿಳಂಬ ಕಾರ್ಯಗಳಿಲ್ಲ
No pending cascade changes,ಬಾಕಿ ಕ್ಯಾಸ್ಕೇಡ್ ಬದಲಾವಣೆಗಳಿಲ್ಲ
No predecessors - this task can start independently,ಪೂರ್ವವರ್ತಿಗಳಿಲ್ಲ — ಈ ಕಾರ್ಯ ಸ್ವತಂತ್ರವಾಗಿ ಪ್ರಾರಂಭಿಸಬಹುದು
No project,ಯೋಜನೆ ಇಲ್ಲ
No projects found,ಯೋಜನೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No Projects Yet,ಇನ್ನೂ ಯೋಜನೆಗಳಿಲ್ಲ
No recent activity,ಇತ್ತೀಚಿನ ಚಟುವಟಿಕೆ ಇಲ್ಲ
No related documents,ಸಂಬಂಧಿತ ದಸ್ತಾವೇಜುಗಳಿಲ್ಲ
No resolved threads.,ಪರಿಹರಿಸಿದ ಥ್ರೆಡ್‌ಗಳಿಲ್ಲ.
No resources found,ಸಂಪನ್ಮೂಲಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No results found,ಫಲಿತಾಂಶಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No skills listed,ಕೌಶಲಗಳು ಪಟ್ಟಿಮಾಡಲಾಗಿಲ್ಲ
No skills recorded yet,ಇನ್ನೂ ಕೌಶಲಗಳು ದಾಖಲಾಗಿಲ್ಲ
No successors - no tasks are waiting for this one,ಉತ್ತರಾಧಿಕಾರಿಗಳಿಲ್ಲ — ಯಾವುದೇ ಕಾರ್ಯ ಇದಕ್ಕಾಗಿ ಕಾಯುತ್ತಿಲ್ಲ
No task selected,ಯಾವುದೇ ಕಾರ್ಯ ಆಯ್ಕೆಯಾಗಿಲ್ಲ
No tasks assigned to you,ನಿಮಗೆ ನಿಯೋಜಿಸಲಾದ ಕಾರ್ಯಗಳಿಲ್ಲ
No tasks available to add,ಸೇರಿಸಲು ಕಾರ್ಯಗಳು ಲಭ್ಯವಿಲ್ಲ
No tasks found,ಕಾರ್ಯಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No tasks linked to this milestone,ಈ ಮೈಲಿಗಲ್ಲಿಗೆ ಲಿಂಕ್ ಆದ ಕಾರ್ಯಗಳಿಲ್ಲ
No tasks with dates to display,ಪ್ರದರ್ಶಿಸಲು ದಿನಾಂಕಗಳಿರುವ ಕಾರ್ಯಗಳಿಲ್ಲ
No tasks yet,ಇನ್ನೂ ಕಾರ್ಯಗಳಿಲ್ಲ
No team members,ತಂಡ ಸದಸ್ಯರಿಲ್ಲ
No template,ಟೆಂಪ್ಲೇಟ್ ಇಲ್ಲ
No templates yet,ಇನ್ನೂ ಟೆಂಪ್ಲೇಟ್‌ಗಳಿಲ್ಲ
No time data found,ಸಮಯ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ
No time logged today,ಇಂದು ಸಮಯ ದಾಖಲಾಗಿಲ್ಲ
No time logged yet,ಇನ್ನೂ ಸಮಯ ದಾಖಲಾಗಿಲ್ಲ
No time logs for this period,ಈ ಅವಧಿಗೆ ಸಮಯ ನಮೂದುಗಳಿಲ್ಲ
No time logs found,ಸಮಯ ನಮೂದುಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No unread notifications,ಓದದ ಅಧಿಸೂಚನೆಗಳಿಲ್ಲ
No update information available yet.,No update information available yet.
None,ಯಾವುದೂ ಇಲ್ಲ
Not found,ಕಂಡುಬಂದಿಲ್ಲ
Not permitted,ಅನುಮತಿ ಇಲ್ಲ
Not permitted to access this project,ಈ ಯೋಜನೆಗೆ ಪ್ರವೇಶ ಅನುಮತಿ ಇಲ್ಲ
Not permitted to access this task,ಈ ಕಾರ್ಯಕ್ಕೆ ಪ್ರವೇಶ ಅನುಮತಿ ಇಲ್ಲ
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ಈ ದಸ್ತಾವೇಜಿನ ಮೇಲೆ ಕಾಮೆಂಟ್ ಮಾಡಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to create clients,ಗ್ರಾಹಕರನ್ನು ರಚಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this client,ಈ ಗ್ರಾಹಕನನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this defect,ಈ ದೋಷವನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this note,ಈ ಟಿಪ್ಪಣಿಯನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this project,ಈ ಯೋಜನೆಯನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this task,ಈ ಕಾರ್ಯವನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to delete this time log,ಈ ಸಮಯ ನಮೂದನ್ನು ಅಳಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to invite clients,ಗ್ರಾಹಕರನ್ನು ಆಹ್ವಾನಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to modify client access,ಗ್ರಾಹಕ ಪ್ರವೇಶ ಮಾರ್ಪಡಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to modify this project,ಈ ಯೋಜನೆಯನ್ನು ಮಾರ್ಪಡಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to update settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ನವೀಕರಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to update this client,ಈ ಗ್ರಾಹಕನನ್ನು ನವೀಕರಿಸಲು ಅನುಮತಿ ಇಲ್ಲ
Not permitted to view this client,ಈ ಗ್ರಾಹಕನನ್ನು ನೋಡಲು ಅನುಮತಿ ಇಲ್ಲ
not sent,ಕಳುಹಿಸಲಾಗಿಲ್ಲ
Not set,ಹೊಂದಿಸಲಾಗಿಲ್ಲ
Not specified,ನಿರ್ದಿಷ್ಟಪಡಿಸಲಾಗಿಲ್ಲ
Note,ಟಿಪ್ಪಣಿ
Note (optional),ಟಿಪ್ಪಣಿ (ಐಚ್ಛಿಕ)
Note Content,ಟಿಪ್ಪಣಿ ವಿಷಯ
Note content is required,ಟಿಪ್ಪಣಿ ವಿಷಯ ಅಗತ್ಯ
Note name is required,ಟಿಪ್ಪಣಿ ಹೆಸರು ಅಗತ್ಯ
Note not found,ಟಿಪ್ಪಣಿ ಕಂಡುಬಂದಿಲ್ಲ
Note Type,ಟಿಪ್ಪಣಿ ಪ್ರಕಾರ
Notes,ಟಿಪ್ಪಣಿಗಳು
Notification,ಅಧಿಸೂಚನೆ
Notification not found,ಅಧಿಸೂಚನೆ ಕಂಡುಬಂದಿಲ್ಲ
Notifications,ಅಧಿಸೂಚನೆಗಳು
Off Track,ಹಾದಿ ತಪ್ಪಿದೆ
Offer,ಕೊಡುಗೆ
Offer Prepared,ಕೊಡುಗೆ ಸಿದ್ಧಪಡಿಸಲಾಗಿದೆ
Oldest First,ಹಳೆಯವು ಮೊದಲು
On Hold,ಹಿಡಿದಿಡಲಾಗಿದೆ
On Leave,ರಜೆಯಲ್ಲಿ
On Track,ಸರಿಯಾದ ಹಾದಿಯಲ್ಲಿ
On-Time Rate,ಸಮಯಕ್ಕೆ ಸರಿಯಾದ ದರ
Only administrators can delete activities,ನಿರ್ವಾಹಕರು ಮಾತ್ರ ಚಟುವಟಿಕೆಗಳನ್ನು ಅಳಿಸಬಹುದು
Only the comment author or administrators can delete comments,ಕಾಮೆಂಟ್ ಲೇಖಕ ಅಥವಾ ನಿರ್ವಾಹಕರು ಮಾತ್ರ ಕಾಮೆಂಟ್‌ಗಳನ್ನು ಅಳಿಸಬಹುದು
Only you and admins,ನೀವು ಮತ್ತು ನಿರ್ವಾಹಕರು ಮಾತ್ರ
Open,ತೆರೆದಿದೆ
Open in Desk,Desk ನಲ್ಲಿ ತೆರೆಯಿರಿ
Open Task Log,ಕಾರ್ಯ ಲಾಗ್ ತೆರೆಯಿರಿ
Open Tasks,ತೆರೆದ ಕಾರ್ಯಗಳು
Optional,ಐಚ್ಛಿಕ
optional,ಐಚ್ಛಿಕ
Or email us directly at,ಅಥವಾ ನೇರವಾಗಿ ನಮಗೆ ಇಮೇಲ್ ಮಾಡಿ
Orga Project {0} from Frappe Projects,Frappe Projects ನಿಂದ Orga ಯೋಜನೆ {0}
Orga Task {0} from Frappe,Frappe ನಿಂದ Orga ಕಾರ್ಯ {0}
Organizer,ಸಂಘಟಕ
Other,ಇತರ
Over Budget,ಬಜೆಟ್ ಮೀರಿದೆ
Overall Progress,ಒಟ್ಟಾರೆ ಪ್ರಗತಿ
Overall Utilization,ಒಟ್ಟಾರೆ ಬಳಕೆ
Overallocated,ಅತಿ ಹಂಚಿಕೆ
Overdue,ವಿಳಂಬ
overdue,ಮೀರಿದ
Overdue Tasks,ವಿಳಂಬ ಕಾರ್ಯಗಳು
Overview,ಅವಲೋಕನ
Owner,ಮಾಲೀಕ
Page Not Found,ಪುಟ ಕಂಡುಬಂದಿಲ್ಲ
Parent,ಪೋಷಕ
Parent comment must belong to the same document,ಪೋಷಕ ಕಾಮೆಂಟ್ ಅದೇ ದಸ್ತಾವೇಜಿಗೆ ಸೇರಿರಬೇಕು
Parent comment not found,ಪೋಷಕ ಕಾಮೆಂಟ್ ಕಂಡುಬಂದಿಲ್ಲ
Parent project not synced to Frappe yet,ಪೋಷಕ ಯೋಜನೆ ಇನ್ನೂ Frappe ಗೆ ಸಿಂಕ್ ಆಗಿಲ್ಲ
Parent project sync not enabled,ಪೋಷಕ ಯೋಜನೆ ಸಿಂಕ್ ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿಲ್ಲ
Partner,ಪಾಲುದಾರ
Pending,ಬಾಕಿ
per page,ಪ್ರತಿ ಪುಟ
Perform initial assessment and background check,ಆರಂಭಿಕ ಮೌಲ್ಯಮಾಪನ ಮತ್ತು ಹಿನ್ನೆಲೆ ಪರಿಶೀಲನೆ ನಡೆಸಿ
Permanently remove this event,ಈ ಕಾರ್ಯಕ್ರಮವನ್ನು ಶಾಶ್ವತವಾಗಿ ತೆಗೆದುಹಾಕಿ
Permanently remove this task,ಈ ಕಾರ್ಯವನ್ನು ಶಾಶ್ವತವಾಗಿ ತೆಗೆದುಹಾಕಿ
Phone,ದೂರವಾಣಿ
Pin,ಪಿನ್ ಮಾಡಿ
Pin Activity,ಚಟುವಟಿಕೆ ಪಿನ್ ಮಾಡಿ
Pin to top,ಮೇಲ್ಭಾಗಕ್ಕೆ ಪಿನ್ ಮಾಡಿ
Pinned,ಪಿನ್ ಮಾಡಲಾಗಿದೆ
Planned budget for this task,ಈ ಕಾರ್ಯಕ್ಕೆ ಯೋಜಿತ ಬಜೆಟ್
Planning,ಯೋಜನೆ ರಚನೆ
Please describe your question or issue in detail...,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆ ಅಥವಾ ಸಮಸ್ಯೆಯನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಿ...
Please login to access Orga,Orga ಗೆ ಪ್ರವೇಶಿಸಲು ದಯವಿಟ್ಟು ಲಾಗಿನ್ ಮಾಡಿ
Please login to access the client portal,ಗ್ರಾಹಕ ಪೋರ್ಟಲ್‌ಗೆ ಪ್ರವೇಶಿಸಲು ದಯವಿಟ್ಟು ಲಾಗಿನ್ ಮಾಡಿ
Please respond to this invitation in Orga,ದಯವಿಟ್ಟು Orga ನಲ್ಲಿ ಈ ಆಹ್ವಾನಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಿ
Please select an image file,ದಯವಿಟ್ಟು ಚಿತ್ರ ಕಡತವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ
Please try again,ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ
Please type,ದಯವಿಟ್ಟು ಟೈಪ್ ಮಾಡಿ
Portal,ಪೋರ್ಟಲ್
Portal access revoked for {0},{0} ಗೆ ಪೋರ್ಟಲ್ ಪ್ರವೇಶ ರದ್ದುಮಾಡಲಾಗಿದೆ
Portal user created successfully. Welcome email {0},ಪೋರ್ಟಲ್ ಬಳಕೆದಾರ ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ. ಸ್ವಾಗತ ಇಮೇಲ್ {0}
Post,ಪ್ರಕಟಿಸಿ
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),ಪೂರ್ವವರ್ತಿಗಳು (ತಡೆಹಿಡಿಯಲಾಗಿದೆ)
Preferences,ಆದ್ಯತೆಗಳು
Preferences saved successfully,ಆದ್ಯತೆಗಳು ಯಶಸ್ವಿಯಾಗಿ ಉಳಿಸಲಾಗಿದೆ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","ಸ್ವಯಂ-ರಚಿತ ಯೋಜನೆ ಕೋಡ್‌ಗಳ ಪೂರ್ವಪ್ರತ್ಯಯ (ಉದಾ., ORG-2026-0001)"
Prepare and document offer terms,ಕೊಡುಗೆ ನಿಯಮಗಳನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ದಾಖಲಿಸಿ
Press,ಒತ್ತಿರಿ
Preview,ಪೂರ್ವವೀಕ್ಷಣೆ
Preview cascade before applying,ಅನ್ವಯಿಸುವ ಮೊದಲು ಕ್ಯಾಸ್ಕೇಡ್ ಪೂರ್ವವೀಕ್ಷಣೆ
Previous,ಹಿಂದಿನ
Priority,ಆದ್ಯತೆ
Priority assigned to new tasks,ಹೊಸ ಕಾರ್ಯಗಳಿಗೆ ನಿಯೋಜಿಸಲಾದ ಆದ್ಯತೆ
Priority updated,ಆದ್ಯತೆ ನವೀಕರಿಸಲಾಗಿದೆ
Proficiency,ಪ್ರಾವೀಣ್ಯತೆ
Profile,ಪ್ರೊಫೈಲ್
Progress,ಪ್ರಗತಿ
Progress (High-Low),ಪ್ರಗತಿ (ಹೆಚ್ಚು-ಕಡಿಮೆ)
Progress (Low-High),ಪ್ರಗತಿ (ಕಡಿಮೆ-ಹೆಚ್ಚು)
Progress Overview,ಪ್ರಗತಿ ಅವಲೋಕನ
Progress updated,ಪ್ರಗತಿ ನವೀಕರಿಸಲಾಗಿದೆ
Project,ಯೋಜನೆ
Project budget has been saved.,ಯೋಜನೆ ಬಜೆಟ್ ಉಳಿಸಲಾಗಿದೆ.
Project code (e.g. ORG-2026-0001),ಯೋಜನೆ ಕೋಡ್ (ಉದಾ. ORG-2026-0001)
Project Code Prefix,ಯೋಜನೆ ಕೋಡ್ ಪೂರ್ವಪ್ರತ್ಯಯ
Project created,ಯೋಜನೆ ರಚಿಸಲಾಗಿದೆ
Project deleted,ಯೋಜನೆ ಅಳಿಸಲಾಗಿದೆ
Project description has been saved.,ಯೋಜನೆ ವಿವರಣೆ ಉಳಿಸಲಾಗಿದೆ.
Project Details,ಯೋಜನೆ ವಿವರಗಳು
Project end date has been saved.,ಯೋಜನೆ ಅಂತಿಮ ದಿನಾಂಕ ಉಳಿಸಲಾಗಿದೆ.
Project Files,ಯೋಜನೆ ಕಡತಗಳು
Project has no linked client,ಯೋಜನೆಗೆ ಲಿಂಕ್ ಆದ ಗ್ರಾಹಕ ಇಲ್ಲ
Project Health,ಯೋಜನೆ ಆರೋಗ್ಯ
Project Info,ಯೋಜನೆ ಮಾಹಿತಿ
Project is required,ಯೋಜನೆ ಅಗತ್ಯ
Project is required for project context,ಯೋಜನೆ ಸಂದರ್ಭಕ್ಕೆ ಯೋಜನೆ ಅಗತ್ಯ
Project is required when tracking context is 'project',ಟ್ರ್ಯಾಕಿಂಗ್ ಸಂದರ್ಭ 'project' ಆಗಿರುವಾಗ ಯೋಜನೆ ಅಗತ್ಯ
Project Manager,ಯೋಜನೆ ನಿರ್ವಾಹಕ
Project Name,ಯೋಜನೆ ಹೆಸರು
Project name and template name are required,ಯೋಜನೆ ಹೆಸರು ಮತ್ತು ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು ಅಗತ್ಯ
Project name is required,ಯೋಜನೆ ಹೆಸರು ಅಗತ್ಯ
Project not found,ಯೋಜನೆ ಕಂಡುಬಂದಿಲ್ಲ
Project not found or you do not have access,ಯೋಜನೆ ಕಂಡುಬಂದಿಲ್ಲ ಅಥವಾ ನಿಮಗೆ ಪ್ರವೇಶವಿಲ್ಲ
Project settings,ಯೋಜನೆ ಸೆಟ್ಟಿಂಗ್‌ಗಳು
Project start date has been saved.,ಯೋಜನೆ ಪ್ರಾರಂಭ ದಿನಾಂಕ ಉಳಿಸಲಾಗಿದೆ.
Project title has been saved.,ಯೋಜನೆ ಶೀರ್ಷಿಕೆ ಉಳಿಸಲಾಗಿದೆ.
Project Type,ಯೋಜನೆ ಪ್ರಕಾರ
Project updated,ಯೋಜನೆ ನವೀಕರಿಸಲಾಗಿದೆ
Project {0} linked to client {1},ಯೋಜನೆ {0} ಗ್ರಾಹಕ {1} ಗೆ ಲಿಂಕ್ ಆಗಿದೆ
Project {0} not found,ಯೋಜನೆ {0} ಕಂಡುಬಂದಿಲ್ಲ
Project {0} to Frappe Projects,ಯೋಜನೆ {0} Frappe Projects ಗೆ
Project:,ಯೋಜನೆ:
Projects,ಯೋಜನೆಗಳು
projects,ಯೋಜನೆಗಳು
Projects created:,ಯೋಜನೆಗಳು ರಚಿಸಲಾಗಿದೆ:
Projects Overview,ಯೋಜನೆಗಳ ಅವಲೋಕನ
Projects skipped:,ಯೋಜನೆಗಳು ಬಿಟ್ಟುಬಿಡಲಾಗಿದೆ:
Projects updated:,ಯೋಜನೆಗಳು ನವೀಕರಿಸಲಾಗಿದೆ:
Promote failed,ಬಡ್ತಿ ವಿಫಲವಾಗಿದೆ
Promote to task,ಕಾರ್ಯವಾಗಿ ಬಡ್ತಿ ನೀಡಿ
Promoted to task,ಕಾರ್ಯವಾಗಿ ಬಡ್ತಿ ನೀಡಲಾಗಿದೆ
Propose,ಪ್ರಸ್ತಾಪಿಸಿ
Propose New Time,ಹೊಸ ಸಮಯ ಪ್ರಸ್ತಾಪಿಸಿ
Propose Time,ಸಮಯ ಪ್ರಸ್ತಾಪಿಸಿ
Proposed End,ಪ್ರಸ್ತಾವಿತ ಅಂತ್ಯ
Proposed Start,ಪ್ರಸ್ತಾವಿತ ಪ್ರಾರಂಭ
Public,ಸಾರ್ವಜನಿಕ
Quick Action,ತ್ವರಿತ ಕ್ರಿಯೆ
Quick Actions,ತ್ವರಿತ ಕ್ರಿಯೆಗಳು
Quick Stats,ತ್ವರಿತ ಅಂಕಿಅಂಶಗಳು
Rates,ದರಗಳು
Receive notifications via email,ಇಮೇಲ್ ಮೂಲಕ ಅಧಿಸೂಚನೆಗಳನ್ನು ಸ್ವೀಕರಿಸಿ
Receive notifications within the application,ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಅಧಿಸೂಚನೆಗಳನ್ನು ಸ್ವೀಕರಿಸಿ
Recent Activity,ಇತ್ತೀಚಿನ ಚಟುವಟಿಕೆ
Recipient {0} is not a valid user,ಸ್ವೀಕೃತದಾರ {0} ಮಾನ್ಯ ಬಳಕೆದಾರರಲ್ಲ
Reference,ಉಲ್ಲೇಖ
Refresh,ರಿಫ್ರೆಶ್
Related,ಸಂಬಂಧಿತ
Related Company (optional),ಸಂಬಂಧಿತ ಕಂಪನಿ (ಐಚ್ಛಿಕ)
Related Documents,ಸಂಬಂಧಿತ ದಸ್ತಾವೇಜುಗಳು
Related Project,ಸಂಬಂಧಿತ ಯೋಜನೆ
Remaining,ಉಳಿದಿದೆ
Reminder,ಜ್ಞಾಪನೆ
Reminder Lead Time,ಜ್ಞಾಪನೆ ಮುನ್ಸೂಚನಾ ಸಮಯ
Reminder: {0} - {1} at {2},ಜ್ಞಾಪನೆ: {0} - {1} ಸಮಯ {2}
Remove,ತೆಗೆದುಹಾಕಿ
Remove dependency,ಅವಲಂಬನೆ ತೆಗೆದುಹಾಕಿ
Remove dependency on,ಅವಲಂಬನೆ ತೆಗೆದುಹಾಕಿ
Remove from group,ಗುಂಪಿನಿಂದ ತೆಗೆದುಹಾಕಿ
Remove group dependency,ಗುಂಪು ಅವಲಂಬನೆ ತೆಗೆದುಹಾಕಿ
Remove skill,ಕೌಶಲ ತೆಗೆದುಹಾಕಿ
Reopen,ಮರುತೆರೆಯಿರಿ
Reopen thread,ಥ್ರೆಡ್ ಮರುತೆರೆಯಿರಿ
reopened,ಮರುತೆರೆಯಲಾಗಿದೆ
replies,ಪ್ರತ್ಯುತ್ತರಗಳು
Reply,ಪ್ರತ್ಯುತ್ತರ
reply,ಪ್ರತ್ಯುತ್ತರ
Replying to,ಪ್ರತ್ಯುತ್ತರಿಸುತ್ತಿದ್ದಾರೆ
Replying to comment,ಕಾಮೆಂಟ್‌ಗೆ ಪ್ರತ್ಯುತ್ತರಿಸುತ್ತಿದ್ದಾರೆ
Report Defect,ದೋಷ ವರದಿ ಮಾಡಿ
Reported Date,ವರದಿ ದಿನಾಂಕ
Reports,ವರದಿಗಳು
Reports To,ವರದಿ ಮಾಡುವವರು
Request Submitted!,ವಿನಂತಿ ಸಲ್ಲಿಸಲಾಗಿದೆ!
Required,ಅಗತ್ಯ
required,ಅಗತ್ಯ
Research,ಸಂಶೋಧನೆ
Reset to Defaults,ಡೀಫಾಲ್ಟ್‌ಗಳಿಗೆ ಮರುಹೊಂದಿಸಿ
Resolve,ಪರಿಹರಿಸಿ
Resolve thread,ಥ್ರೆಡ್ ಪರಿಹರಿಸಿ
Resolved,ಪರಿಹರಿಸಲಾಗಿದೆ
Resolved date cannot be before reported date,ಪರಿಹಾರ ದಿನಾಂಕ ವರದಿ ದಿನಾಂಕಕ್ಕಿಂತ ಮೊದಲು ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ
Resource,ಸಂಪನ್ಮೂಲ
Resource and skill name are required,ಸಂಪನ್ಮೂಲ ಮತ್ತು ಕೌಶಲ ಹೆಸರು ಅಗತ್ಯ
Resource is already an attendee,ಸಂಪನ್ಮೂಲ ಈಗಾಗಲೇ ಹಾಜರಾತಿದಾರರಾಗಿದ್ದಾರೆ
Resource name is required,ಸಂಪನ್ಮೂಲ ಹೆಸರು ಅಗತ್ಯ
Resource not found,ಸಂಪನ್ಮೂಲ ಕಂಡುಬಂದಿಲ್ಲ
Resource synced from employee {0},ಉದ್ಯೋಗಿ {0} ರಿಂದ ಸಂಪನ್ಮೂಲ ಸಿಂಕ್ ಮಾಡಲಾಗಿದೆ
Resource {0} is already assigned to this task ({1}),ಸಂಪನ್ಮೂಲ {0} ಈಗಾಗಲೇ ಈ ಕಾರ್ಯಕ್ಕೆ ({1}) ನಿಯೋಜಿಸಲಾಗಿದೆ
Resource {0} not found,ಸಂಪನ್ಮೂಲ {0} ಕಂಡುಬಂದಿಲ್ಲ
Resources,ಸಂಪರ್ಕಗಳು
Retry,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ
Review,ಪರಿಶೀಲನೆ
Review all relevant documents and contracts,ಎಲ್ಲಾ ಸಂಬಂಧಿತ ದಸ್ತಾವೇಜುಗಳು ಮತ್ತು ಒಪ್ಪಂದಗಳನ್ನು ಪರಿಶೀಲಿಸಿ
Reviews,ಪರಿಶೀಲನೆಗಳು
Risk Assessment,ಅಪಾಯ ಮೌಲ್ಯಮಾಪನ
Rollback,ಹಿಂದಕ್ಕೆ ತಿರುಗಿಸಿ
Rolled back,ಹಿಂದಕ್ಕೆ ತಿರುಗಿಸಲಾಗಿದೆ
Room or address,ಕೊಠಡಿ ಅಥವಾ ವಿಳಾಸ
RSVP,RSVP
Safety,ಸುರಕ್ಷತೆ
Sat,ಶನಿ
Save,ಉಳಿಸಿ
"Save a project as a template, or import one from a JSON file.","ಯೋಜನೆಯನ್ನು ಟೆಂಪ್ಲೇಟ್ ಆಗಿ ಉಳಿಸಿ, ಅಥವಾ JSON ಕಡತದಿಂದ ಒಂದನ್ನು ಆಮದು ಮಾಡಿ."
Save as Template,ಟೆಂಪ್ಲೇಟ್ ಆಗಿ ಉಳಿಸಿ
Save Changes,ಬದಲಾವಣೆಗಳನ್ನು ಉಳಿಸಿ
Save failed,ಉಳಿಸುವಿಕೆ ವಿಫಲವಾಗಿದೆ
Save Preferences,ಆದ್ಯತೆಗಳನ್ನು ಉಳಿಸಿ
Save Template,ಟೆಂಪ್ಲೇಟ್ ಉಳಿಸಿ
Saving...,ಉಳಿಸಲಾಗುತ್ತಿದೆ...
Schedule,ವೇಳಾಪಟ್ಟಿ
Schedule type is required for scheduled triggers,ನಿಗದಿತ ಟ್ರಿಗ್ಗರ್‌ಗಳಿಗೆ ವೇಳಾಪಟ್ಟಿ ಪ್ರಕಾರ ಅಗತ್ಯ
Scheduled,ನಿಗದಿತ
Search,ಹುಡುಕಿ
"Search by name, email, or skill...","ಹೆಸರು, ಇಮೇಲ್ ಅಥವಾ ಕೌಶಲದ ಮೂಲಕ ಹುಡುಕಿ..."
Search for a project...,ಯೋಜನೆ ಹುಡುಕಿ...
Search for a task...,ಕಾರ್ಯ ಹುಡುಕಿ...
Search for an event...,ಕಾರ್ಯಕ್ರಮ ಹುಡುಕಿ...
Search for people to invite...,ಆಹ್ವಾನಿಸಲು ಜನರನ್ನು ಹುಡುಕಿ...
Search tasks to link...,ಲಿಂಕ್ ಮಾಡಲು ಕಾರ್ಯಗಳನ್ನು ಹುಡುಕಿ...
Search tasks...,ಕಾರ್ಯಗಳನ್ನು ಹುಡುಕಿ...
Search...,ಹುಡುಕಿ...
Searching...,ಹುಡುಕಲಾಗುತ್ತಿದೆ...
Seen,ನೋಡಲಾಗಿದೆ
Select a project if your request is related to a specific project.,ನಿಮ್ಮ ವಿನಂತಿ ನಿರ್ದಿಷ್ಟ ಯೋಜನೆಗೆ ಸಂಬಂಧಿಸಿದ್ದರೆ ಯೋಜನೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Select a project...,ಯೋಜನೆ ಆಯ್ಕೆಮಾಡಿ...
Select a task from the Gantt chart to view and manage its details.,ವಿವರಗಳನ್ನು ನೋಡಲು ಮತ್ತು ನಿರ್ವಹಿಸಲು Gantt ಚಾರ್ಟ್‌ನಿಂದ ಕಾರ್ಯ ಆಯ್ಕೆಮಾಡಿ.
Select a task from the list or Kanban board to view and manage its details.,ವಿವರಗಳನ್ನು ನೋಡಲು ಮತ್ತು ನಿರ್ವಹಿಸಲು ಪಟ್ಟಿ ಅಥವಾ Kanban ಬೋರ್ಡ್‌ನಿಂದ ಕಾರ್ಯ ಆಯ್ಕೆಮಾಡಿ.
Select a template...,ಟೆಂಪ್ಲೇಟ್ ಆಯ್ಕೆಮಾಡಿ...
Select priority...,ಆದ್ಯತೆ ಆಯ್ಕೆಮಾಡಿ...
Select status...,ಸ್ಥಿತಿ ಆಯ್ಕೆಮಾಡಿ...
Select task...,ಕಾರ್ಯ ಆಯ್ಕೆಮಾಡಿ...
Select type...,ಪ್ರಕಾರ ಆಯ್ಕೆಮಾಡಿ...
Selection,ಆಯ್ಕೆ
Send,ಕಳುಹಿಸಿ
Send comment,ಕಾಮೆಂಟ್ ಕಳುಹಿಸಿ
Send email invitations to attendees,ಹಾಜರಾತಿದಾರರಿಗೆ ಇಮೇಲ್ ಆಹ್ವಾನಗಳನ್ನು ಕಳುಹಿಸಿ
Send Invitations,ಆಹ್ವಾನಗಳನ್ನು ಕಳುಹಿಸಿ
